# (c) Statistisches Landesamt Baden-Württemberg, Fellbach 2025;;;;;;
# ;;;;;;
# Wahlkreise und zugeordnete Stadt- und Landkreise sowie Gemeinden bei der Wahl zum 18. Landtag von Baden-Württemberg am 08. März 2026;;;;;;
# ;;;;;;
# Stand: 30.04.2025;;;;;;
# ;;;;;;
;;;;;;
Wahlkreisnummer;Wahlkreisname;Kreis-Kennziffer;Kreisname;Gemeindekennziffer;Gemeindename;Stadtbezirke, -teile
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127052;Mainhardt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127056;Michelbach an der Bilz;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127059;Michelfeld;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127062;Oberrot;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127063;Obersontheim;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127071;Rot am See;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127073;Satteldorf;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127076;Schwäbisch Hall, Stadt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127079;Sulzbach-Laufen;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127089;Vellberg, Stadt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127091;Wallhausen;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127099;Wolpertshausen;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127100;Rosengarten;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127101;Kreßberg;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127102;Fichtenau;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127103;Frankenhardt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127104;Stimpfach;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128006;Assamstadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128007;Bad Mergentheim, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128014;Boxberg, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128020;Creglingen, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128039;Freudenberg, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128045;Großrinderfeld;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128047;Grünsfeld, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128058;Igersheim;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128061;Königheim;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128064;Külsheim, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128082;Niederstetten, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128115;Tauberbischofsheim, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128126;Weikersheim, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128128;Werbach;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128131;Wertheim, Stadt;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128137;Wittighausen;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128138;Ahorn;
23;Main-Tauber;8128;Main-Tauber-Kreis;8128139;Lauda-Königshofen, Stadt;
24;Heidenheim;8135;Heidenheim;8135010;Dischingen;
24;Heidenheim;8135;Heidenheim;8135015;Gerstetten;
24;Heidenheim;8135;Heidenheim;8135016;Giengen an der Brenz, Stadt;
24;Heidenheim;8135;Heidenheim;8135019;Heidenheim an der Brenz, Stadt;
24;Heidenheim;8135;Heidenheim;8135020;Herbrechtingen, Stadt;
24;Heidenheim;8135;Heidenheim;8135021;Hermaringen;
24;Heidenheim;8135;Heidenheim;8135025;Königsbronn;
24;Heidenheim;8135;Heidenheim;8135026;Nattheim;
24;Heidenheim;8135;Heidenheim;8135027;Niederstotzingen, Stadt;
24;Heidenheim;8135;Heidenheim;8135031;Sontheim an der Brenz;
24;Heidenheim;8135;Heidenheim;8135032;Steinheim am Albuch;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136002;Abtsgmünd;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136007;Bartholomä;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136009;Böbingen an der Rems;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136015;Durlangen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136020;Eschach;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136021;Essingen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136024;Göggingen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136027;Gschwend;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136028;Heubach, Stadt;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136029;Heuchlingen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136034;Iggingen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136040;Leinzell;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136042;Lorch, Stadt;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136043;Mögglingen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136044;Mutlangen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136049;Obergröningen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136061;Ruppertshofen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136062;Schechingen;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136065;Schwäbisch Gmünd, Stadt;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136066;Spraitbach;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136070;Täferrot;
25;Schwäbisch Gmünd;8136;Ostalbkreis;8136079;Waldstetten;
26;Aalen;8136;Ostalbkreis;8136003;Adelmannsfelden;
26;Aalen;8136;Ostalbkreis;8136010;Bopfingen, Stadt;
26;Aalen;8136;Ostalbkreis;8136018;Ellenberg;
26;Aalen;8136;Ostalbkreis;8136019;Ellwangen (Jagst), Stadt;
26;Aalen;8136;Ostalbkreis;8136033;Hüttlingen;
26;Aalen;8136;Ostalbkreis;8136035;Jagstzell;
26;Aalen;8136;Ostalbkreis;8136037;Kirchheim am Ries;
26;Aalen;8136;Ostalbkreis;8136038;Lauchheim, Stadt;
26;Aalen;8136;Ostalbkreis;8136045;Neresheim, Stadt;
26;Aalen;8136;Ostalbkreis;8136046;Neuler;
26;Aalen;8136;Ostalbkreis;8136050;Oberkochen, Stadt;
26;Aalen;8136;Ostalbkreis;8136060;Rosenberg;
26;Aalen;8136;Ostalbkreis;8136068;Stödtlen;
26;Aalen;8136;Ostalbkreis;8136071;Tannhausen;
26;Aalen;8136;Ostalbkreis;8136075;Unterschneidheim;
26;Aalen;8136;Ostalbkreis;8136082;Westhausen;
26;Aalen;8136;Ostalbkreis;8136084;Wört;
26;Aalen;8136;Ostalbkreis;8136087;Riesbürg;
26;Aalen;8136;Ostalbkreis;8136088;Aalen, Stadt;
26;Aalen;8136;Ostalbkreis;8136089;Rainau;
27;Karlsruhe I;8212;Stadtkreis Karlsruhe;8212000;Karlsruhe, Stadt;Beiertheim-Bulach, Durlach-Aue, Grötzingen, Grünwettersbach, Hagsfeld, Hohenwettersbach, Innenstadt-Ost, Oststadt, Palmbach, Rintheim, Rüppurr, Stupferich, Südstadt, Waldstadt, Weiherfeld-Dammerstock, Wolfartsweier
28;Karlsruhe II;8212;Stadtkreis Karlsruhe;8212000;Karlsruhe, Stadt;Daxlanden, Grünwinkel, Innenstadt-West, Knielingen, Mühlburg, Neureut, Nordstadt, Nordweststadt, Oberreut, Südweststadt, Weststadt
29;Bruchsal;8215;Karlsruhe;8215009;Bruchsal, Stadt;
29;Bruchsal;8215;Karlsruhe;8215021;Forst;
