Berichtszeitpunkt,_RS,Name,Regionalebene,0_Insgesamt_,GESCHLECHT__1,GESCHLECHT__2,Staatsange_kurz__1,Staatsange_kurz__2,Alter_infr__01,Alter_infr__02,Alter_infr__03,Alter_infr__04,Alter_infr__05,Alter_infr__06,Alter_infr__07,Alter_infr__08,Alter_infr__09,Alter_infr__10,Alter_infr__11,FAMSTND_KURZ__1,FAMSTND_KURZ__2,FAMSTND_KURZ__3,FAMSTND_KURZ__4,FAMSTND_KURZ__5,Einwanderungserf_ausf__2,Einwanderungserf_ausf__21,Einwanderungserf_ausf__22,Einwanderungserf_ausf__3,Einwanderungserf_ausf__1,geo_id
20220515,130720106106,"Teterow, Bergringstadt",Gemeinde,8131,3980,4151,7757,374,166,148,264,433,205,361,1177,2124,989,1053,1212,3079,3489,850,680,36,777,709,70,21,7329,13072106
20220515,130725251,Bad Doberan-Land,Gemeindeverband,12283,6047,6238,12085,199,316,361,531,723,351,367,1669,3838,1532,1421,1179,4448,6280,700,851,8,592,563,29,56,11632,130725251
20220515,130725252,Bützow-Land,Gemeindeverband,15974,7918,8056,15516,458,356,411,591,877,397,556,2385,4559,2096,1709,2032,6262,6829,1552,1261,73,919,882,42,52,15006,130725252
20220515,130725253,Carbäk,Gemeindeverband,7890,3916,3974,7798,92,188,242,342,524,209,181,1057,2455,1197,884,615,2655,4349,425,459,3,325,295,27,40,7524,130725253
20220515,130725254,Gnoien,Gemeindeverband,5668,2828,2840,5513,152,135,126,220,348,143,200,769,1615,806,590,711,2096,2550,589,413,21,325,312,10,22,5321,130725254
20220515,130725255,Güstrow-Land,Gemeindeverband,9573,4847,4726,9366,207,223,260,379,590,259,310,1291,3072,1393,1000,800,3532,4726,620,668,28,483,473,11,35,9054,130725255
20220515,130725256,Krakow am See,Gemeindeverband,8716,4371,4345,8470,245,174,203,348,454,255,305,1157,2565,1217,975,1071,3183,4106,747,672,10,582,567,15,36,8098,130725256
20220515,130725257,Laage,Gemeindeverband,8711,4406,4305,8444,266,209,251,355,558,213,306,1403,2652,1057,754,953,3364,4069,654,586,32,518,508,10,29,8164,130725257
20220515,130725258,Mecklenburgische Schweiz,Gemeindeverband,8073,4123,3950,7772,300,191,232,327,530,252,282,1107,2472,1141,818,711,3203,3738,560,558,15,525,507,16,17,7530,130725258
20220515,130725259,Neubukow-Salzhaff,Gemeindeverband,6969,3454,3514,6731,238,152,176,238,391,192,230,933,2166,975,760,754,2584,3228,558,577,23,550,520,26,33,6390,130725259
20220515,130725260,Rostocker Heide,Gemeindeverband,10207,5187,5018,9601,607,291,336,475,615,271,337,1629,3184,1362,981,727,3907,5042,525,678,54,918,842,74,57,9236,130725260
20220515,130725261,Schwaan,Gemeindeverband,7920,3909,4008,7821,97,185,257,349,457,191,271,1191,2337,973,818,891,3058,3672,624,550,19,300,284,14,13,7609,130725261
20220515,130725262,Tessin,Gemeindeverband,7015,3513,3503,6887,126,232,217,292,446,194,263,1161,1941,869,677,722,2918,2977,574,537,7,362,334,29,20,6634,130725262
20220515,130725263,Warnow-West,Gemeindeverband,17364,8500,8864,17094,276,417,502,788,1140,514,441,2252,5480,2121,1967,1744,6239,9127,934,1016,44,738,685,54,111,16514,130725263
20220515,130730011011,"Binz, Ostseebad",Gemeinde,4967,2264,2703,4525,442,64,84,95,198,83,168,654,1292,745,733,850,1546,2175,546,549,148,653,622,30,26,4286,13073011
20220515,130730035035,"Grimmen, Stadt",Gemeinde,9060,4175,4884,8679,380,175,186,279,443,228,364,1167,2322,1167,1101,1633,3272,3630,1188,812,156,667,636,30,7,8388,13073035
20220515,130730055055,"Marlow, Stadt",Gemeinde,4554,2311,2244,4451,103,106,138,171,259,91,155,622,1423,613,514,462,1676,2220,326,326,8,218,207,12,15,4324,13073055
20220515,130730070070,"Putbus, Stadt",Gemeinde,4469,2166,2303,4379,89,78,95,161,214,89,129,556,1304,649,580,613,1569,2081,413,394,15,216,210,8,21,4229,13073070
20220515,130730080080,"Sassnitz, Stadt",Gemeinde,9010,4273,4738,8389,619,127,170,242,409,194,326,1134,2397,1212,1243,1560,3004,3821,1077,988,126,887,832,54,34,8089,13073080
20220515,130730088088,"Stralsund, Hansestadt",Gemeinde,53996,25949,28047,50766,3230,1105,1292,1728,2856,1254,3291,9054,13899,5775,5575,8163,22984,19300,5405,5444,862,5017,4570,446,222,48753,13073088
20220515,130730089089,Süderholz,Gemeinde,3920,2019,1899,3864,54,98,116,153,251,83,137,637,1197,595,384,276,1540,1860,255,260,3,139,127,8,11,3768,13073089
20220515,130730105105,"Zingst, Ostseeheilbad",Gemeinde,2929,1371,1559,2722,209,41,60,57,117,60,118,337,772,359,418,590,880,1419,354,246,32,353,343,9,7,2568,13073105
20220515,130735351,Altenpleen,Gemeindeverband,7574,3726,3846,7387,189,173,225,354,497,220,274,1104,2366,965,754,639,2975,3527,488,531,49,373,357,14,30,7175,130735351
20220515,130735352,Barth,Gemeindeverband,14546,7009,7536,13729,817,310,363,495,818,348,512,2005,4103,2020,1755,1814,5364,6487,1363,1275,60,1265,1200,64,26,13257,130735352
20220515,130735353,Bergen auf Rügen,Gemeindeverband,20490,10019,10468,19724,769,371,471,733,1148,506,813,3129,5888,2796,2275,2363,8083,8602,1782,1944,79,1414,1293,117,83,18993,130735353
20220515,130735354,Darß/Fischland,Gemeindeverband,6307,3021,3286,5856,446,89,105,145,246,116,256,696,1756,855,872,1172,2061,3141,565,504,37,690,680,7,17,5597,130735354
20220515,130735355,Franzburg-Richtenberg,Gemeindeverband,7218,3638,3579,7096,122,139,187,259,391,193,261,1052,2238,1027,738,737,2771,3246,656,527,14,314,306,5,16,6892,130735355
20220515,130735356,Miltzow,Gemeindeverband,6914,3474,3440,6821,93,163,185,253,434,182,248,981,2198,958,721,585,2614,3281,474,536,10,273,256,14,23,6616,130735356
20220515,130735357,Mönchgut-Granitz,Gemeindeverband,7072,3394,3677,6368,702,119,128,229,362,161,310,1026,2041,987,810,903,2665,3028,601,604,170,927,882,43,35,6111,130735357
20220515,130735358,Niepars,Gemeindeverband,9365,4733,4633,9256,106,206,281,333,553,221,277,1279,2842,1456,1045,873,3278,4825,624,638,–,371,348,25,40,8953,130735358
20220515,130735359,Nord-Rügen,Gemeindeverband,7439,3666,3774,7172,267,107,135,212,352,155,230,848,2237,1230,1007,929,2421,3501,744,663,109,434,420,13,23,6985,130735359
20220515,130735360,Recknitz-Trebeltal,Gemeindeverband,8401,4209,4192,8152,248,189,232,371,515,226,237,1213,2391,1149,904,972,3204,3719,779,654,42,492,459,31,23,7888,130735360
20220515,130735361,Ribnitz-Damgarten,Gemeindeverband,18125,8694,9431,17587,538,378,402,601,942,413,679,2462,5081,2352,2195,2619,6789,7908,1710,1635,84,1298,1206,90,55,16772,130735361
20220515,130735362,West-Rügen,Gemeindeverband,9385,4606,4779,9141,247,169,220,308,512,222,299,1280,2860,1428,1029,1050,3522,4186,813,799,61,506,490,14,25,8856,130735362
20220515,130740026026,"Grevesmühlen, Stadt",Gemeinde,10354,4976,5378,10048,307,176,254,333,494,241,473,1479,2877,1188,1191,1644,3941,4182,1132,1005,93,821,755,67,28,9509,13074026
20220515,130740035035,"Insel Poel, Ostseebad",Gemeinde,2523,1206,1316,2426,97,37,40,73,123,58,62,272,741,377,385,358,761,1274,198,238,50,206,197,4,5,2313,13074035
20220515,130740087087,"Wismar, Hansestadt",Gemeinde,42764,20742,22021,39060,3702,965,1017,1452,2198,1066,2711,7289,10654,4670,4479,6255,18140,15868,4002,3972,785,5609,5034,572,167,36989,13074087
20220515,130745451,Dorf Mecklenburg-Bad Kleinen,Gemeindeverband,14002,7011,6991,13637,365,338,383,557,863,412,489,2094,4207,1740,1656,1266,5309,6535,992,1115,59,847,790,53,39,13123,130745451
20220515,130745452,Gadebusch,Gemeindeverband,9797,4891,4906,9601,197,239,264,338,558,245,398,1521,2778,1266,1019,1170,3948,4197,857,771,22,650,590,62,27,9113,130745452
20220515,130745453,Grevesmühlen-Land,Gemeindeverband,8467,4281,4187,8292,176,224,249,350,519,248,320,1266,2616,1173,826,674,3282,4039,528,566,50,444,407,42,32,7992,130745453
20220515,130745454,Klützer Winkel,Gemeindeverband,10516,5075,5441,9945,572,204,237,334,534,258,430,1384,3106,1453,1242,1333,3704,4841,894,907,175,988,954,32,32,9494,130745454
20220515,130745455,Lützow-Lübstorf,Gemeindeverband,13317,6687,6629,13196,120,311,415,500,711,352,427,1839,4100,1784,1596,1276,4786,6718,861,933,20,476,448,25,57,12785,130745455
20220515,130745456,Neuburg,Gemeindeverband,6414,3134,3282,6118,299,195,204,294,453,208,195,988,1898,813,618,550,2542,2897,452,448,72,454,439,17,28,5932,130745456
20220515,130745457,Neukloster-Warin,Gemeindeverband,10859,5502,5359,10689,170,242,273,385,580,261,372,1569,3158,1504,1208,1311,4178,4699,953,995,31,584,557,24,47,10231,130745457
20220515,130745458,Rehna,Gemeindeverband,9569,4828,4739,9442,129,277,295,412,612,259,406,1610,2929,1099,813,864,3969,4241,640,707,13,458,424,33,58,9053,130745458
20220515,130745459,Schönberger Land,Gemeindeverband,17921,8965,8956,17448,472,482,573,776,1178,545,838,2831,5752,1882,1553,1514,7180,8202,1127,1376,32,1304,1136,167,134,16483,130745459
20220515,130750005005,"Anklam, Hansestadt",Gemeinde,11864,5579,6284,11506,356,226,265,370,605,301,533,1569,2898,1669,1480,1948,4510,4716,1478,1105,54,768,704,61,22,11075,13075005
20220515,130750039039,"Greifswald, Universitäts- und Hansestadt",Gemeinde,55617,26335,29284,51932,3686,1343,1452,1858,2634,1246,6033,12156,12453,5060,5010,6370,28889,17739,4220,4487,282,5752,5227,526,378,49487,13075039
20220515,130750049049,"Heringsdorf, Ostseebad",Gemeinde,5991,2761,3228,5629,360,96,121,141,216,119,227,744,1634,852,852,987,2070,2586,656,675,4,596,554,47,30,5365,13075049
20220515,130750105105,"Pasewalk, Stadt",Gemeinde,9714,4603,5107,9296,414,168,216,311,526,260,469,1346,2478,1283,1124,1539,3774,3902,1093,852,92,719,662,59,35,8963,13075105
20220515,130750130130,"Strasburg (Uckermark), Stadt",Gemeinde,4359,2115,2244,4283,76,60,88,143,222,106,155,544,1160,657,535,692,1624,1826,539,363,5,247,228,16,10,4104,13075130
20220515,130750136136,"Ueckermünde, Seebad , Stadt",Gemeinde,8794,4306,4488,8522,272,170,181,273,420,195,285,1240,2358,1295,1152,1230,3401,3430,991,944,26,532,485,45,23,8238,13075136
20220515,130755551,Am Peenestrom,Gemeindeverband,13950,6791,7158,13119,831,317,349,540,766,361,571,1959,3697,1907,1677,1810,5526,5666,1398,1319,37,1257,1157,99,34,12659,130755551
20220515,130755552,Am Stettiner Haff,Gemeindeverband,10342,5063,5278,10116,232,175,245,345,546,248,301,1265,2951,1637,1368,1265,3513,4892,1030,874,32,500,482,18,28,9816,130755552
20220515,130755553,Anklam-Land,Gemeindeverband,9249,4720,4529,9118,131,190,190,295,503,236,308,1170,2789,1507,1031,1023,3467,4150,880,743,8,469,447,22,22,8759,130755553
20220515,130755554,Jarmen-Tutow,Gemeindeverband,6606,3325,3281,6503,103,140,187,224,392,161,234,945,1821,887,722,895,2617,2712,717,545,18,340,333,9,23,6242,130755554
20220515,130755555,Landhagen,Gemeindeverband,10692,5370,5323,10526,161,286,365,486,690,332,319,1482,3294,1448,1163,821,4125,5355,564,639,3,495,444,54,51,10145,130755555
20220515,130755556,Löcknitz-Penkun,Gemeindeverband,10543,5268,5273,8707,1835,195,283,429,702,361,352,1367,3033,1442,1209,1169,3980,4839,961,703,61,2481,2216,264,57,8006,130755556
20220515,130755557,Lubmin,Gemeindeverband,10469,5161,5307,10328,140,186,268,351,515,249,344,1277,3122,1544,1354,1263,3507,5278,914,768,–,490,463,27,43,9937,130755557
20220515,130755558,Peenetal/Loitz,Gemeindeverband,5954,2942,3011,5853,100,119,155,209,354,189,214,745,1832,825,611,705,2332,2617,527,475,–,240,235,11,10,5698,130755558
20220515,130755559,Torgelow-Ferdinandshof,Gemeindeverband,13759,6774,6984,12935,823,276,351,518,817,336,565,1917,3679,1982,1569,1753,5240,5916,1411,1170,19,1379,1295,84,32,12348,130755559
20220515,130755560,Uecker-Randow-Tal,Gemeindeverband,6795,3478,3318,6649,146,150,165,252,360,162,199,871,2088,1073,815,654,2441,3295,531,487,43,317,293,22,16,6459,130755560
20220515,130755561,Usedom-Nord,Gemeindeverband,8372,3971,4398,8041,332,132,137,223,383,182,269,903,2230,1176,1346,1387,2637,4034,842,855,6,722,673,46,39,7614,130755561
20220515,130755562,Usedom-Süd,Gemeindeverband,10993,5337,5655,10639,354,183,263,356,578,248,371,1331,3194,1566,1415,1493,4087,4825,1060,1007,16,626,598,26,46,10325,130755562
20220515,130755563,Züssow,Gemeindeverband,11406,5692,5714,11180,227,266,337,465,686,325,453,1668,3348,1542,1130,1187,4632,4921,955,890,9,529,502,30,45,10831,130755563
20220515,130760014014,"Boizenburg/ Elbe, Stadt",Gemeinde,11009,5563,5446,10100,909,280,282,403,526,269,595,1988,3057,1211,1122,1278,4524,4551,921,988,27,1444,1299,142,41,9523,13076014
20220515,130760060060,"Hagenow, Stadt",Gemeinde,11855,5881,5976,10424,1433,311,344,487,699,302,637,2210,3131,1285,1163,1288,5190,4543,956,1035,130,2041,1810,229,34,9783,13076060
20220515,130760088088,"Lübtheen, Stadt",Gemeinde,4639,2477,2160,4184,454,96,100,166,244,109,189,742,1349,543,457,643,1789,2058,458,318,12,647,627,18,21,3973,13076088
20220515,130760090090,"Ludwigslust, Stadt",Gemeinde,11845,5736,6106,10732,1114,237,299,463,614,316,525,1920,3127,1413,1274,1661,4731,4989,1081,940,101,1569,1410,161,30,10245,13076090
20220515,130760108108,"Parchim, Stadt",Gemeinde,17814,8654,9162,15943,1872,375,476,622,1023,460,893,2752,4487,2120,2117,2493,6927,7246,1692,1534,414,2924,2534,393,76,14806,13076108
20220515,130765652,Boizenburg-Land,Gemeindeverband,6938,3586,3352,6264,674,163,201,279,411,207,299,1133,2319,813,578,546,2789,3247,470,417,13,877,853,27,41,6022,130765652
20220515,130765654,Dömitz-Malliß,Gemeindeverband,8436,4213,4223,8212,224,183,207,276,377,211,261,1118,2504,1178,1046,1067,3002,3943,799,675,18,454,421,36,25,7955,130765654
20220515,130765655,Eldenburg Lübz,Gemeindeverband,11762,5758,6003,11509,253,236,269,392,583,307,425,1545,3430,1724,1368,1492,4189,5350,1207,992,23,697,678,17,23,11044,130765655
20220515,130765656,Goldberg-Mildenitz,Gemeindeverband,6321,3138,3183,6226,95,107,141,210,262,138,205,789,1865,1031,751,824,2373,2857,593,484,20,320,301,18,18,5986,130765656
20220515,130765657,Grabow,Gemeindeverband,10715,5331,5386,10469,246,242,225,329,553,242,415,1458,3071,1553,1213,1414,3971,4791,1004,905,47,561,526,33,46,10112,130765657
20220515,130765658,Hagenow-Land,Gemeindeverband,8453,4297,4158,8225,228,205,255,367,489,218,300,1292,2673,1181,817,654,3202,4179,549,504,25,455,436,19,34,7963,130765658
20220515,130765659,Ludwigslust-Land,Gemeindeverband,8197,4086,4111,8030,167,196,231,321,438,232,281,1184,2452,1149,887,819,2977,3966,685,565,6,340,324,14,23,7836,130765659
20220515,130765660,Neustadt-Glewe,Gemeindeverband,7604,3762,3844,6665,942,173,198,294,425,177,368,1221,2138,882,865,868,3078,3314,628,553,31,1234,1169,67,20,6351,130765660
20220515,130765662,Parchimer Umland,Gemeindeverband,8048,4025,4023,7806,242,188,204,304,430,196,260,1192,2538,1172,858,714,2895,3966,628,506,61,463,449,16,29,7553,130765662
20220515,130765663,Plau am See,Gemeindeverband,7946,3906,4041,7586,362,142,184,257,381,135,256,1085,2240,1155,983,1126,2837,3604,784,665,60,685,658,27,26,7233,130765663
20220515,130765664,Sternberger Seenlandschaft,Gemeindeverband,11857,5902,5958,11671,184,256,258,433,624,326,378,1489,3382,1708,1439,1567,4339,5323,1163,1006,25,673,648,27,35,11148,130765664
20220515,130765665,Stralendorf,Gemeindeverband,11686,5738,5947,11563,123,267,389,492,680,296,356,1666,3439,1645,1369,1089,4210,5961,740,769,3,432,404,26,30,11226,130765665
20220515,130765666,Wittenburg,Gemeindeverband,9112,4557,4554,8454,656,242,263,374,570,225,396,1559,2774,993,866,844,3746,4024,641,676,28,937,855,80,35,8139,130765666
20220515,130765667,Zarrentin,Gemeindeverband,10065,5124,4941,9419,646,279,305,424,577,269,426,1746,3123,1183,835,898,4129,4504,681,728,21,931,862,68,49,9089,130765667
20220515,130765668,Crivitz,Gemeindeverband,24522,12011,12511,24161,361,557,651,942,1462,620,688,3180,7341,3411,3056,2622,8684,12121,1829,1841,41,1121,1061,56,96,23303,130765668
