Berichtszeitpunkt,_RS,Name,Regionalebene,BERUFABS_AUSF_STP,BERUFABS_AUSF_STP__M,BERUFABS_AUSF_STP__W,BERUFABS_AUSF_STP__1,BERUFABS_AUSF_STP__1_M,BERUFABS_AUSF_STP__1_W,BERUFABS_AUSF_STP__11,BERUFABS_AUSF_STP__11_M,BERUFABS_AUSF_STP__11_W,BERUFABS_AUSF_STP__12,BERUFABS_AUSF_STP__12_M,BERUFABS_AUSF_STP__12_W,BERUFABS_AUSF_STP__13,BERUFABS_AUSF_STP__13_M,BERUFABS_AUSF_STP__13_W,BERUFABS_AUSF_STP__14,BERUFABS_AUSF_STP__14_M,BERUFABS_AUSF_STP__14_W,BERUFABS_AUSF_STP__15,BERUFABS_AUSF_STP__15_M,BERUFABS_AUSF_STP__15_W,BERUFABS_AUSF_STP__16,BERUFABS_AUSF_STP__16_M,BERUFABS_AUSF_STP__16_W,BERUFABS_AUSF_STP__17,BERUFABS_AUSF_STP__17_M,BERUFABS_AUSF_STP__17_W,BERUFABS_AUSF_STP__2,BERUFABS_AUSF_STP__2_M,BERUFABS_AUSF_STP__2_W,geo_id
20220515,130735356,Miltzow,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735356
20220515,130735357,Mönchgut-Granitz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735357
20220515,130735358,Niepars,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735358
20220515,130735359,Nord-Rügen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735359
20220515,130735360,Recknitz-Trebeltal,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735360
20220515,130735361,Ribnitz-Damgarten,Gemeindeverband,15570,7420,8160,13270,6290,6980,8760,4550,4200,1590,500,1090,1090,360,740,270,/,/,/,/,/,1320,650,670,/,/,/,2300,1120,1180,130735361
20220515,130735362,West-Rügen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735362
20220515,130740026026,"Grevesmühlen, Stadt",Gemeinde,8820,4220,4600,7040,3400,3640,4690,2360,2330,1020,500,530,590,230,360,/,/,/,/,/,/,530,/,330,/,/,/,1780,820,960,13074026
20220515,130740035035,"Insel Poel, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13074035
20220515,130740087087,"Wismar, Hansestadt",Gemeinde,36410,17610,18810,29200,14010,15190,17220,8870,8350,3740,1440,2290,1860,660,1200,1030,430,600,830,350,480,4050,1920,2130,470,340,/,7220,3600,3620,13074087
20220515,130745451,Dorf Mecklenburg-Bad Kleinen,Gemeindeverband,11960,5950,6010,9810,4930,4880,5660,2920,2750,1430,690,740,900,300,600,330,/,/,/,/,/,1230,650,580,/,/,/,2140,1020,1130,130745451
20220515,130745452,Gadebusch,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745452
20220515,130745453,Grevesmühlen-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745453
20220515,130745454,Klützer Winkel,Gemeindeverband,9130,4400,4730,7510,3600,3920,4480,2260,2220,1030,450,580,540,/,360,/,/,/,/,/,/,1090,530,560,/,/,/,1620,800,820,130745454
20220515,130745455,Lützow-Lübstorf,Gemeindeverband,11450,5770,5680,9970,4850,5110,5430,2710,2710,1340,540,800,900,310,590,300,/,/,240,/,/,1490,840,650,280,/,/,1480,910,570,130745455
20220515,130745456,Neuburg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745456
20220515,130745457,Neukloster-Warin,Gemeindeverband,8910,4450,4460,7460,3710,3760,4690,2540,2150,1070,360,700,670,280,390,/,/,/,/,/,/,770,370,390,/,/,/,1450,740,710,130745457
20220515,130745458,Rehna,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745458
20220515,130745459,Schönberger Land,Gemeindeverband,15060,7430,7630,12030,5960,6070,7830,3940,3890,1760,670,1090,480,260,230,370,220,/,/,/,/,1360,770,590,/,/,/,3030,1470,1550,130745459
20220515,130750005005,"Anklam, Hansestadt",Gemeinde,10170,4720,5450,8320,3970,4350,5340,2690,2650,1140,550,600,690,220,470,/,/,/,/,/,/,760,340,430,/,/,/,1850,750,1100,13075005
20220515,130750039039,"Greifswald, Universitäts- und Hansestadt",Gemeinde,47240,22280,24960,36370,17130,19240,16610,7820,8790,4970,2280,2690,3850,1470,2370,1680,750,930,1360,630,730,6310,3280,3030,1590,890,700,10870,5150,5720,13075039
20220515,130750049049,"Heringsdorf, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075049
20220515,130750105105,"Pasewalk, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075105
20220515,130750130130,"Strasburg (Uckermark), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075130
20220515,130750136136,"Ueckermünde, Seebad , Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075136
20220515,130755551,Am Peenestrom,Gemeindeverband,11740,5690,6050,9420,4610,4820,6420,3220,3190,880,360,520,760,280,480,/,/,/,/,/,/,1170,650,520,/,/,/,2320,1080,1230,130755551
20220515,130755552,Am Stettiner Haff,Gemeindeverband,8910,4390,4520,7920,3930,3990,5600,2770,2830,790,390,400,500,260,240,/,/,/,/,/,/,780,410,370,/,/,/,980,450,530,130755552
20220515,130755553,Anklam-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755553
