commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,name,key,event,changes,candidate
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000008","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000008""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000009","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000009""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000012","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000012""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000013","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000013""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000014","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000014""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000015","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000015""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000016","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000016""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000017","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000017""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000021","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000021""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000017","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000017""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000020","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000020""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000024","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000024""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000026","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000026""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000029","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000029""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000030","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000030""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Stendal, Hansestadt / 000033","[""04, Stendal"",""Stendal"",""Stendal, Hansestadt"",""000033""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
