relation,parent,name,field,child_count,missing_children,children_sum,parent_value,delta
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",reported_precincts,1,0,186,,
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",total_precincts,1,0,186,,
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",voters_total,1,0,134559,134559,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",valid_votes_erst,1,0,133221,133221,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",valid_votes_zweit,1,0,133423,133423,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D1,1,0,25858,25858,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D15,1,0,5868,5868,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D2,1,0,40135,40135,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D21,1,0,326,326,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D3,1,0,33365,33365,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D4,1,0,13235,13235,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D5,1,0,4394,4394,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D6,1,0,9384,9384,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:D7,1,0,656,656,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F1,1,0,18609,18609,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F10,1,0,557,557,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F11,1,0,430,430,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F12,1,0,621,621,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F15,1,0,6580,6580,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F19,1,0,233,233,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F2,1,0,39835,39835,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F20,1,0,502,502,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F3,1,0,15263,15263,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F4,1,0,16841,16841,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F5,1,0,3831,3831,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F6,1,0,27558,27558,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F7,1,0,1041,1041,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F8,1,0,204,204,0
GEMEINDE->KREIS,lsa:KREIS:15002,"Halle (Saale), Stadt",party:F9,1,0,1318,1318,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",reported_precincts,1,0,218,,
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",total_precincts,1,0,218,,
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",voters_total,1,0,139563,139563,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",valid_votes_erst,1,0,138457,138457,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",valid_votes_zweit,1,0,138521,138521,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D1,1,0,35596,35596,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D10,1,0,2937,2937,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D12,1,0,999,999,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D15,1,0,6233,6233,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D2,1,0,45479,45479,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D20,1,0,508,508,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D3,1,0,24762,24762,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D4,1,0,11546,11546,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D5,1,0,3914,3914,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:D6,1,0,6483,6483,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F1,1,0,21221,21221,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F10,1,0,1921,1921,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F11,1,0,419,419,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F12,1,0,1129,1129,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F15,1,0,7104,7104,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F19,1,0,233,233,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F2,1,0,45161,45161,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F20,1,0,697,697,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F3,1,0,15313,15313,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F4,1,0,16728,16728,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F5,1,0,4016,4016,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F6,1,0,22368,22368,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F7,1,0,770,770,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F8,1,0,191,191,0
GEMEINDE->KREIS,lsa:KREIS:15003,"Magdeburg, Landeshauptstadt",party:F9,1,0,1250,1250,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,reported_precincts,13,0,152,,
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,total_precincts,13,0,152,,
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,voters_total,13,0,51020,51020,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,valid_votes_erst,13,0,50469,50469,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,valid_votes_zweit,13,0,50504,50504,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D1,13,0,13083,13083,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D11,13,0,657,657,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D15,13,0,2697,2697,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D2,13,0,20924,20924,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D3,13,0,6438,6438,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D4,13,0,3899,3899,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D5,13,0,1502,1502,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:D6,13,0,1269,1269,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F1,13,0,8858,8858,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F10,13,0,236,236,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F11,13,0,216,216,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F12,13,0,234,234,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F15,13,0,2779,2779,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F19,13,0,93,93,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F2,13,0,21207,21207,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F20,13,0,146,146,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F3,13,0,5048,5048,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F4,13,0,5329,5329,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F5,13,0,1430,1430,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F6,13,0,3850,3850,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F7,13,0,488,488,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F8,13,0,141,141,0
GEMEINDE->KREIS,lsa:KREIS:15081,Altmarkkreis Salzwedel,party:F9,13,0,449,449,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,reported_precincts,10,0,205,,
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,total_precincts,10,0,205,,
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,voters_total,10,0,97501,97501,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,valid_votes_erst,10,0,96168,96168,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,valid_votes_zweit,10,0,96441,96441,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D1,10,0,22720,22720,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D15,10,6,1561,1561,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D2,10,0,48555,48555,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D3,10,0,9137,9137,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D4,10,0,6321,6321,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D5,10,0,3160,3160,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D6,10,0,2782,2782,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:D7,10,7,1932,1932,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F1,10,0,17090,17090,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F10,10,0,456,456,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F11,10,0,231,231,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F12,10,0,547,547,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F15,10,0,4929,4929,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F19,10,0,154,154,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F2,10,0,47424,47424,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F20,10,0,297,297,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F3,10,0,7546,7546,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F4,10,0,7025,7025,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F5,10,0,2571,2571,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F6,10,0,5432,5432,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F7,10,0,1489,1489,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F8,10,0,96,96,0
GEMEINDE->KREIS,lsa:KREIS:15082,Anhalt-Bitterfeld,party:F9,10,0,1154,1154,0
GEMEINDE->KREIS,lsa:KREIS:15083,Börde,reported_precincts,34,0,244,,
GEMEINDE->KREIS,lsa:KREIS:15083,Börde,total_precincts,34,0,244,,
GEMEINDE->KREIS,lsa:KREIS:15083,Börde,voters_total,34,0,109060,109060,0
GEMEINDE->KREIS,lsa:KREIS:15083,Börde,valid_votes_erst,34,0,107846,107846,0
GEMEINDE->KREIS,lsa:KREIS:15083,Börde,valid_votes_zweit,34,0,108005,108005,0
