Berichtszeitpunkt,_RS,Name,Regionalebene,ET_WIRTSZWG_STP,ET_WIRTSZWG_STP__M,ET_WIRTSZWG_STP__W,ET_WIRTSZWG_STP__1,ET_WIRTSZWG_STP__1_M,ET_WIRTSZWG_STP__1_W,ET_WIRTSZWG_STP__2,ET_WIRTSZWG_STP__2_M,ET_WIRTSZWG_STP__2_W,ET_WIRTSZWG_STP__21,ET_WIRTSZWG_STP__21_M,ET_WIRTSZWG_STP__21_W,ET_WIRTSZWG_STP__22,ET_WIRTSZWG_STP__22_M,ET_WIRTSZWG_STP__22_W,ET_WIRTSZWG_STP__23,ET_WIRTSZWG_STP__23_M,ET_WIRTSZWG_STP__23_W,ET_WIRTSZWG_STP__3,ET_WIRTSZWG_STP__3_M,ET_WIRTSZWG_STP__3_W,ET_WIRTSZWG_STP__31,ET_WIRTSZWG_STP__31_M,ET_WIRTSZWG_STP__31_W,ET_WIRTSZWG_STP__32,ET_WIRTSZWG_STP__32_M,ET_WIRTSZWG_STP__32_W,ET_WIRTSZWG_STP__33,ET_WIRTSZWG_STP__33_M,ET_WIRTSZWG_STP__33_W,ET_WIRTSZWG_STP__34,ET_WIRTSZWG_STP__34_M,ET_WIRTSZWG_STP__34_W,ET_WIRTSZWG_STP__35,ET_WIRTSZWG_STP__35_M,ET_WIRTSZWG_STP__35_W,ET_WIRTSZWG_STP__36,ET_WIRTSZWG_STP__36_M,ET_WIRTSZWG_STP__36_W,geo_id
20220515,130725259,Neubukow-Salzhaff,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725259
20220515,130725260,Rostocker Heide,Gemeindeverband,5450,2860,2590,/,/,/,1140,810,330,650,440,/,/,/,/,370,280,/,4170,1910,2260,910,410,500,530,360,/,/,/,/,350,/,/,700,390,310,1510,500,1010,130725260
20220515,130725261,Schwaan,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725261
20220515,130725262,Tessin,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725262
20220515,130725263,Warnow-West,Gemeindeverband,8850,4470,4380,/,/,/,1840,1350,490,810,590,220,300,/,/,730,580,/,6910,3070,3840,1090,540,550,1050,760,290,240,/,/,890,580,310,930,350,580,2700,770,1930,130725263
20220515,130730011011,"Binz, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073011
20220515,130730035035,"Grimmen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073035
20220515,130730055055,"Marlow, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073055
20220515,130730070070,"Putbus, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073070
20220515,130730080080,"Sassnitz, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073080
20220515,130730088088,"Stralsund, Hansestadt",Gemeinde,23100,12130,10970,/,/,/,3590,3030,560,1740,1480,260,400,280,/,1460,1270,/,19400,9010,10390,3790,1500,2290,2160,1530,620,240,/,/,1740,1230,510,3700,1810,1890,7760,2760,5000,13073088
20220515,130730089089,Süderholz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073089
20220515,130730105105,"Zingst, Ostseeheilbad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073105
20220515,130735351,Altenpleen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735351
20220515,130735352,Barth,Gemeindeverband,6610,3290,3320,290,/,/,1470,1290,/,500,430,/,/,/,/,890,800,/,4850,1790,3060,1470,570,900,450,300,/,/,/,/,510,240,280,510,220,290,1850,440,1410,130735352
20220515,130735353,Bergen auf Rügen,Gemeindeverband,9500,4970,4540,/,/,/,1660,1330,330,620,430,/,/,/,/,850,720,/,7640,3470,4180,2310,1040,1270,810,630,/,/,/,/,720,430,280,850,490,360,2800,850,1950,130735353
20220515,130735354,Darß/Fischland,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735354
20220515,130735355,Franzburg-Richtenberg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735355
20220515,130735356,Miltzow,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735356
20220515,130735357,Mönchgut-Granitz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735357
20220515,130735358,Niepars,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735358
20220515,130735359,Nord-Rügen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735359
20220515,130735360,Recknitz-Trebeltal,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735360
20220515,130735361,Ribnitz-Damgarten,Gemeindeverband,8030,4270,3760,410,300,/,1680,1390,290,630,450,/,/,/,/,940,830,/,5940,2570,3370,1490,730,750,460,380,/,230,/,/,550,320,230,900,480,420,2320,600,1710,130735361
20220515,130735362,West-Rügen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735362
20220515,130740026026,"Grevesmühlen, Stadt",Gemeinde,4640,2350,2300,220,/,/,1350,980,370,880,560,320,/,/,/,390,370,/,3070,1240,1840,710,310,400,390,290,/,/,/,/,260,/,/,/,/,/,1420,400,1020,13074026
20220515,130740035035,"Insel Poel, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13074035
20220515,130740087087,"Wismar, Hansestadt",Gemeinde,18250,9780,8480,300,/,/,4710,3790,920,2980,2340,650,300,250,/,1430,1200,220,13250,5790,7460,2970,1270,1700,1480,1190,280,580,230,360,1270,640,620,1220,580,640,5740,1880,3860,13074087
20220515,130745451,Dorf Mecklenburg-Bad Kleinen,Gemeindeverband,6870,3700,3170,/,/,/,2130,1790,340,1070,810,270,/,/,/,880,840,/,4550,1790,2760,880,330,550,620,430,/,/,/,/,400,260,/,690,280,410,1820,450,1370,130745451
20220515,130745452,Gadebusch,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745452
20220515,130745453,Grevesmühlen-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745453
20220515,130745454,Klützer Winkel,Gemeindeverband,5330,2630,2700,/,/,/,1220,920,300,700,490,220,/,/,/,440,400,/,3920,1590,2340,1220,380,840,300,270,/,/,/,/,440,240,/,330,/,/,1540,500,1040,130745454
20220515,130745455,Lützow-Lübstorf,Gemeindeverband,7000,3670,3340,220,/,/,1750,1360,390,830,570,270,/,/,/,750,690,/,5030,2150,2890,780,300,480,530,390,/,220,/,/,490,250,240,960,510,460,2050,650,1400,130745455
20220515,130745456,Neuburg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745456
20220515,130745457,Neukloster-Warin,Gemeindeverband,4820,2560,2260,/,/,/,1390,1120,270,520,350,/,/,/,/,770,680,/,3290,1310,1970,760,240,510,390,280,/,/,/,/,/,/,/,510,250,260,1380,400,970,130745457
20220515,130745458,Rehna,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745458
