key,level,name,party,vote_type,votes,valid_votes,share_percent,reported_precincts,total_precincts
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",CDU,Erststimmen,3380,13490,25.055596738324684,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",SPD,Zweitstimmen,1482,13506,10.972900932918703,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",SPD,Erststimmen,1047,13490,7.7613046701260195,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",GRÜNE,Zweitstimmen,1109,13506,8.21116540796683,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",GRÜNE,Erststimmen,366,13490,2.7131208302446255,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",Die Linke,Zweitstimmen,1639,13506,12.135347253072709,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",Die Linke,Erststimmen,2101,13490,15.574499629355078,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",BSW,Zweitstimmen,765,13506,5.664149266992448,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",BSW,Erststimmen,707,13490,5.240919199406968,25,25
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,AfD,Zweitstimmen,262,565,46.3716814159292,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,AfD,Erststimmen,255,565,45.13274336283186,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,CDU,Zweitstimmen,93,565,16.460176991150444,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,CDU,Erststimmen,148,565,26.194690265486727,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,SPD,Zweitstimmen,46,565,8.141592920353983,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,SPD,Erststimmen,37,565,6.548672566371682,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,GRÜNE,Zweitstimmen,62,565,10.973451327433628,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,GRÜNE,Erststimmen,23,565,4.070796460176991,3,3
