poll_id,ags,municipality_name,metric,kommone_value,statla_value,delta
2,08116033,"Kirchheim unter Teck, Stadt",reported_precincts,,21,
2,08116033,"Kirchheim unter Teck, Stadt",total_precincts,,33,
2,08116033,"Kirchheim unter Teck, Stadt",voters_total,11872,12507,-635.0
2,08116033,"Kirchheim unter Teck, Stadt",valid_votes,11788,12446,-658.0
2,08116035,Köngen,reported_precincts,,11,
2,08116035,Köngen,total_precincts,,12,
2,08116035,Köngen,voters_total,4844,4844,0.0
2,08116035,Köngen,valid_votes,4816,4818,-2.0
2,08116036,Kohlberg,reported_precincts,,2,
2,08116036,Kohlberg,total_precincts,,3,
2,08116036,Kohlberg,voters_total,803,803,0.0
2,08116036,Kohlberg,valid_votes,991,796,195.0
2,08116037,Lichtenwald,reported_precincts,,3,
2,08116037,Lichtenwald,total_precincts,,4,
2,08116037,Lichtenwald,voters_total,1171,1171,0.0
2,08116037,Lichtenwald,valid_votes,1167,1169,-2.0
2,08116041,Neckartailfingen,reported_precincts,,3,
2,08116041,Neckartailfingen,total_precincts,,4,
2,08116041,Neckartailfingen,voters_total,1586,1586,0.0
2,08116041,Neckartailfingen,valid_votes,1576,1580,-4.0
2,08116042,Neckartenzlingen,reported_precincts,,6,
2,08116042,Neckartenzlingen,total_precincts,,6,
2,08116042,Neckartenzlingen,voters_total,2830,2830,0.0
2,08116042,Neckartenzlingen,valid_votes,2801,2812,-11.0
2,08116043,Neidlingen,reported_precincts,,2,
2,08116043,Neidlingen,total_precincts,,2,
2,08116043,Neidlingen,voters_total,1032,1032,0.0
2,08116043,Neidlingen,valid_votes,1027,1026,1.0
2,08116046,"Neuffen, Stadt",reported_precincts,,5,
2,08116046,"Neuffen, Stadt",total_precincts,,7,
2,08116046,"Neuffen, Stadt",voters_total,2289,2289,0.0
2,08116046,"Neuffen, Stadt",valid_votes,2267,2278,-11.0
2,08116047,Neuhausen auf den Fildern,reported_precincts,,7,
2,08116047,Neuhausen auf den Fildern,total_precincts,,9,
2,08116047,Neuhausen auf den Fildern,voters_total,4979,4979,0.0
2,08116047,Neuhausen auf den Fildern,valid_votes,4943,4954,-11.0
2,08116048,Notzingen,reported_precincts,,3,
2,08116048,Notzingen,total_precincts,,4,
2,08116048,Notzingen,voters_total,1432,1432,0.0
2,08116048,Notzingen,valid_votes,1421,1421,0.0
2,08116049,"Nürtingen, Stadt",reported_precincts,,34,
2,08116049,"Nürtingen, Stadt",total_precincts,,38,
2,08116049,"Nürtingen, Stadt",voters_total,16458,17265,-807.0
2,08116049,"Nürtingen, Stadt",valid_votes,16313,17160,-847.0
2,08116050,Oberboihingen,reported_precincts,,4,
2,08116050,Oberboihingen,total_precincts,,4,
2,08116050,Oberboihingen,voters_total,2992,2992,0.0
2,08116050,Oberboihingen,valid_votes,2973,2977,-4.0
2,08116053,Ohmden,reported_precincts,,2,
2,08116053,Ohmden,total_precincts,,2,
2,08116053,Ohmden,voters_total,1009,1009,0.0
2,08116053,Ohmden,valid_votes,1001,1000,1.0
2,08116054,"Owen, Stadt",reported_precincts,,3,
2,08116054,"Owen, Stadt",total_precincts,,3,
2,08116054,"Owen, Stadt",voters_total,2003,2003,0.0
2,08116054,"Owen, Stadt",valid_votes,1992,1992,0.0
2,08116056,"Plochingen, Stadt",reported_precincts,,12,
2,08116056,"Plochingen, Stadt",total_precincts,,12,
2,08116056,"Plochingen, Stadt",voters_total,6030,6030,0.0
2,08116056,"Plochingen, Stadt",valid_votes,5981,5996,-15.0
2,08116058,Reichenbach an der Fils,reported_precincts,,10,
2,08116058,Reichenbach an der Fils,total_precincts,,10,
2,08116058,Reichenbach an der Fils,voters_total,4162,4162,0.0
2,08116058,Reichenbach an der Fils,valid_votes,4122,4139,-17.0
2,08116063,Schlaitdorf,reported_precincts,,2,
2,08116063,Schlaitdorf,total_precincts,,2,
2,08116063,Schlaitdorf,voters_total,725,1237,-512.0
2,08116063,Schlaitdorf,valid_votes,992,1229,-237.0
2,08116068,Unterensingen,reported_precincts,,5,
2,08116068,Unterensingen,total_precincts,,6,
2,08116068,Unterensingen,voters_total,1961,1961,0.0
2,08116068,Unterensingen,valid_votes,1952,1956,-4.0
2,08116070,"Weilheim an der Teck, Stadt",reported_precincts,,5,
2,08116070,"Weilheim an der Teck, Stadt",total_precincts,,8,
2,08116070,"Weilheim an der Teck, Stadt",voters_total,3173,3173,0.0
2,08116070,"Weilheim an der Teck, Stadt",valid_votes,3156,3162,-6.0
2,08116071,"Wendlingen am Neckar, Stadt",reported_precincts,,16,
2,08116071,"Wendlingen am Neckar, Stadt",total_precincts,,16,
2,08116071,"Wendlingen am Neckar, Stadt",voters_total,7770,7770,0.0
2,08116071,"Wendlingen am Neckar, Stadt",valid_votes,7723,7732,-9.0
2,08116072,"Wernau (Neckar), Stadt",reported_precincts,,11,
2,08116072,"Wernau (Neckar), Stadt",total_precincts,,12,
2,08116072,"Wernau (Neckar), Stadt",voters_total,5172,5172,0.0
2,08116072,"Wernau (Neckar), Stadt",valid_votes,5134,5150,-16.0
2,08116073,Wolfschlugen,reported_precincts,,3,
2,08116073,Wolfschlugen,total_precincts,,6,
2,08116073,Wolfschlugen,voters_total,1862,1862,0.0
2,08116073,Wolfschlugen,valid_votes,1835,1844,-9.0
2,08116076,Aichwald,reported_precincts,,6,
2,08116076,Aichwald,total_precincts,,9,
2,08116076,Aichwald,voters_total,2797,2797,0.0
2,08116076,Aichwald,valid_votes,2788,2793,-5.0
2,08116077,"Filderstadt, Stadt",reported_precincts,,29,
2,08116077,"Filderstadt, Stadt",total_precincts,,32,
2,08116077,"Filderstadt, Stadt",voters_total,19710,19710,0.0
2,08116077,"Filderstadt, Stadt",valid_votes,19574,19637,-63.0
2,08116078,"Leinfelden-Echterdingen, Stadt",reported_precincts,,41,
2,08116078,"Leinfelden-Echterdingen, Stadt",total_precincts,,43,
2,08116078,"Leinfelden-Echterdingen, Stadt",voters_total,19117,19117,0.0
2,08116078,"Leinfelden-Echterdingen, Stadt",valid_votes,18985,19041,-56.0
2,08116079,Lenningen,reported_precincts,,9,
2,08116079,Lenningen,total_precincts,,9,
2,08116079,Lenningen,voters_total,4238,4238,0.0
2,08116079,Lenningen,valid_votes,4214,4217,-3.0
2,08116080,"Ostfildern, Stadt",reported_precincts,,34,
2,08116080,"Ostfildern, Stadt",total_precincts,,41,
2,08116080,"Ostfildern, Stadt",voters_total,16330,16330,0.0
2,08116080,"Ostfildern, Stadt",valid_votes,16217,16273,-56.0
2,08116081,"Aichtal, Stadt",reported_precincts,,11,
2,08116081,"Aichtal, Stadt",total_precincts,,11,
2,08116081,"Aichtal, Stadt",voters_total,5608,5608,0.0
2,08116081,"Aichtal, Stadt",valid_votes,5559,5583,-24.0
2,08117001,Adelberg,reported_precincts,,0,
2,08117001,Adelberg,total_precincts,,2,
2,08117001,Adelberg,voters_total,0,0,0.0
2,08117001,Adelberg,valid_votes,0,0,0.0
2,08117002,Aichelberg,reported_precincts,,2,
2,08117002,Aichelberg,total_precincts,,2,
2,08117002,Aichelberg,voters_total,782,782,0.0
2,08117002,Aichelberg,valid_votes,996,779,217.0
2,08117003,Albershausen,reported_precincts,,3,
2,08117003,Albershausen,total_precincts,,3,
2,08117003,Albershausen,voters_total,2333,2333,0.0
2,08117003,Albershausen,valid_votes,2305,2324,-19.0
2,08117006,Bad Ditzenbach,reported_precincts,,3,
2,08117006,Bad Ditzenbach,total_precincts,,4,
2,08117006,Bad Ditzenbach,voters_total,1215,1215,0.0
2,08117006,Bad Ditzenbach,valid_votes,1200,1204,-4.0
2,08117007,Bad Überkingen,reported_precincts,,6,
2,08117007,Bad Überkingen,total_precincts,,6,
2,08117007,Bad Überkingen,voters_total,2269,2269,0.0
2,08117007,Bad Überkingen,valid_votes,2249,2256,-7.0
2,08117009,Birenbach,reported_precincts,,0,
2,08117009,Birenbach,total_precincts,,2,
2,08117009,Birenbach,voters_total,0,0,0.0
2,08117009,Birenbach,valid_votes,0,0,0.0
2,08117010,Böhmenkirch,reported_precincts,,7,
2,08117010,Böhmenkirch,total_precincts,,7,
2,08117010,Böhmenkirch,voters_total,3075,3075,0.0
2,08117010,Böhmenkirch,valid_votes,3028,3044,-16.0
2,08117011,Börtlingen,reported_precincts,,2,
2,08117011,Börtlingen,total_precincts,,2,
2,08117011,Börtlingen,voters_total,1097,1097,0.0
2,08117011,Börtlingen,valid_votes,1085,1094,-9.0
2,08117012,Bad Boll,reported_precincts,,5,
2,08117012,Bad Boll,total_precincts,,5,
2,08117012,Bad Boll,voters_total,2392,2941,-549.0
2,08117012,Bad Boll,valid_votes,2361,2927,-566.0
2,08117014,Deggingen,reported_precincts,,5,
2,08117014,Deggingen,total_precincts,,5,
2,08117014,Deggingen,voters_total,3002,3002,0.0
2,08117014,Deggingen,valid_votes,2974,2988,-14.0
2,08117015,"Donzdorf, Stadt",reported_precincts,,9,
2,08117015,"Donzdorf, Stadt",total_precincts,,9,
2,08117015,"Donzdorf, Stadt",voters_total,5373,5994,-621.0
2,08117015,"Donzdorf, Stadt",valid_votes,5317,5972,-655.0
2,08117016,Drackenstein,reported_precincts,,0,
2,08117016,Drackenstein,total_precincts,,2,
2,08117016,Drackenstein,voters_total,0,0,0.0
2,08117016,Drackenstein,valid_votes,0,0,0.0
2,08117017,Dürnau,reported_precincts,,2,
2,08117017,Dürnau,total_precincts,,2,
2,08117017,Dürnau,voters_total,1325,1325,0.0
2,08117017,Dürnau,valid_votes,1317,1322,-5.0
2,08117018,"Ebersbach an der Fils, Stadt",reported_precincts,,18,
2,08117018,"Ebersbach an der Fils, Stadt",total_precincts,,20,
2,08117018,"Ebersbach an der Fils, Stadt",voters_total,6112,6112,0.0
2,08117018,"Ebersbach an der Fils, Stadt",valid_votes,6041,6071,-30.0
2,08117019,"Eislingen/Fils, Stadt",reported_precincts,,23,
2,08117019,"Eislingen/Fils, Stadt",total_precincts,,23,
2,08117019,"Eislingen/Fils, Stadt",voters_total,8317,8317,0.0
2,08117019,"Eislingen/Fils, Stadt",valid_votes,8161,8208,-47.0
2,08117020,Eschenbach,reported_precincts,,3,
2,08117020,Eschenbach,total_precincts,,3,
2,08117020,Eschenbach,voters_total,1246,1246,0.0
2,08117020,Eschenbach,valid_votes,1230,1239,-9.0
2,08117023,Gammelshausen,reported_precincts,,2,
2,08117023,Gammelshausen,total_precincts,,2,
2,08117023,Gammelshausen,voters_total,861,861,0.0
2,08117023,Gammelshausen,valid_votes,993,855,138.0
2,08117024,"Geislingen an der Steige, Stadt",reported_precincts,,24,
2,08117024,"Geislingen an der Steige, Stadt",total_precincts,,26,
2,08117024,"Geislingen an der Steige, Stadt",voters_total,8495,8495,0.0
2,08117024,"Geislingen an der Steige, Stadt",valid_votes,8399,8430,-31.0
2,08117025,Gingen an der Fils,reported_precincts,,5,
2,08117025,Gingen an der Fils,total_precincts,,5,
2,08117025,Gingen an der Fils,voters_total,2386,2386,0.0
2,08117025,Gingen an der Fils,valid_votes,2364,2369,-5.0
2,08117026,"Göppingen, Stadt",reported_precincts,,64,
2,08117026,"Göppingen, Stadt",total_precincts,,65,
2,08117026,"Göppingen, Stadt",voters_total,22753,22753,0.0
2,08117026,"Göppingen, Stadt",valid_votes,22537,22636,-99.0
2,08117028,Gruibingen,reported_precincts,,0,
2,08117028,Gruibingen,total_precincts,,2,
2,08117028,Gruibingen,voters_total,0,0,0.0
2,08117028,Gruibingen,valid_votes,0,0,0.0
2,08117029,Hattenhofen,reported_precincts,,3,
2,08117029,Hattenhofen,total_precincts,,3,
2,08117029,Hattenhofen,voters_total,1790,1790,0.0
