level,identifier,name,ags,wahlkreisnummer,old_reported_precincts,new_reported_precincts,delta_reported_precincts,old_total_precincts,new_total_precincts,delta_total_precincts,old_voters_total,new_voters_total,delta_voters_total,old_valid_votes_erst,new_valid_votes_erst,delta_valid_votes_erst,old_valid_votes_zweit,new_valid_votes_zweit,delta_valid_votes_zweit
GEMEINDE,08115044,Schönaich,08115044,,10,10,0,10,10,0,5259,5260,1,5225,5226,1,5236,5236,0
GEMEINDE,08115045,"Sindelfingen, Stadt",08115045,,63,63,0,63,63,0,23516,23510,-6,23286,23285,-1,23380,23381,1
GEMEINDE,08115048,"Waldenbuch, Stadt",08115048,,6,6,0,6,6,0,4694,4694,0,4664,4667,3,4676,4677,1
GEMEINDE,08115050,"Weil der Stadt, Stadt",08115050,,23,23,0,23,23,0,10016,10016,0,9953,9954,1,9981,9981,0
GEMEINDE,08115051,Weil im Schönbuch,08115051,,7,7,0,7,7,0,5223,5223,0,5182,5185,3,5195,5196,1
GEMEINDE,08116019,"Esslingen am Neckar, Stadt",08116019,,77,77,0,77,77,0,40137,40187,50,39804,39854,50,39902,39952,50
GEMEINDE,08116033,"Kirchheim unter Teck, Stadt",08116033,,33,33,0,33,33,0,19996,19980,-16,19842,19842,0,19889,19889,0
GEMEINDE,08116047,Neuhausen auf den Fildern,08116047,,9,9,0,9,9,0,6599,6599,0,6543,6544,1,6568,6568,0
GEMEINDE,08116049,"Nürtingen, Stadt",08116049,,38,38,0,38,38,0,19586,19586,0,19414,19416,2,19474,19478,4
GEMEINDE,08116058,Reichenbach an der Fils,08116058,,10,10,0,10,10,0,4162,4162,0,4122,4123,1,4139,4139,0
GEMEINDE,08116070,"Weilheim an der Teck, Stadt",08116070,,8,8,0,8,8,0,5395,5395,0,5357,5358,1,5367,5366,-1
GEMEINDE,08116073,Wolfschlugen,08116073,,6,6,0,6,6,0,3698,3703,5,3651,3652,1,3662,3662,0
GEMEINDE,08117018,"Ebersbach an der Fils, Stadt",08117018,,20,20,0,20,20,0,7467,7467,0,7374,7374,0,7415,7414,-1
