Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,geo_id
20220515,130725262,Tessin,Gemeindeverband,3246,1178,1136,454,316,102,60,1178,943,768,310,45,1178,1368,3,341,233,75,45,799,332,2122,130725262
20220515,130725263,Warnow-West,Gemeindeverband,7591,1829,3325,1219,902,221,89,1829,3059,2119,483,87,1829,4360,4,817,373,111,87,2019,755,4814,130725263
20220515,130730011011,"Binz, Ostseebad",Gemeinde,3113,1694,1028,217,132,27,14,1694,910,289,142,77,1694,1012,3,183,120,25,77,1081,236,1796,13073011
20220515,130730035035,"Grimmen, Stadt",Gemeinde,5026,2592,1616,492,224,72,28,2592,1326,593,426,93,2592,1615,–,301,326,98,93,1823,354,2850,13073035
20220515,130730055055,"Marlow, Stadt",Gemeinde,2179,745,826,347,188,55,21,745,729,495,171,34,745,1046,–,183,139,35,34,558,249,1373,13073055
20220515,130730070070,"Putbus, Stadt",Gemeinde,2367,989,887,265,173,34,20,989,784,395,160,37,989,988,3,188,133,31,37,743,249,1375,13073070
20220515,130730080080,"Sassnitz, Stadt",Gemeinde,5333,2839,1748,435,213,69,30,2839,1475,577,343,98,2839,1717,4,329,277,69,98,1956,367,3010,13073080
20220515,130730088088,"Stralsund, Hansestadt",Gemeinde,31536,17775,9157,2619,1445,369,172,17775,7327,3360,2398,676,17775,8538,12,2140,2039,362,676,9628,1454,20455,13073088
20220515,130730089089,Süderholz,Gemeinde,1774,534,700,278,183,47,23,534,612,445,154,29,534,857,–,196,127,28,29,359,228,1192,13073089
20220515,130730105105,"Zingst, Ostseeheilbad",Gemeinde,1806,837,687,161,86,26,11,837,600,228,102,36,837,714,–,114,80,22,36,704,166,935,13073105
20220515,130735351,Altenpleen,Gemeindeverband,3405,1068,1311,539,357,94,30,1068,1173,874,245,46,1068,1656,–,387,198,50,46,786,310,2303,130735351
20220515,130735352,Barth,Gemeindeverband,7653,3379,2747,836,472,155,62,3379,2307,1188,624,153,3379,2912,4,579,493,129,153,2378,697,4575,130735352
20220515,130735353,Bergen auf Rügen,Gemeindeverband,10861,4926,3705,1230,700,204,100,4926,3070,1702,947,218,4926,3923,7,843,796,154,218,2980,892,6991,130735353
20220515,130735354,Darß/Fischland,Gemeindeverband,3632,1603,1383,365,192,55,27,1603,1203,494,250,77,1603,1442,–,257,198,54,77,1346,419,1869,130735354
20220515,130735355,Franzburg-Richtenberg,Gemeindeverband,3566,1420,1280,477,263,83,42,1420,1103,660,305,79,1420,1443,3,314,239,64,79,945,361,2261,130735355
20220515,130735356,Miltzow,Gemeindeverband,3380,1140,1303,506,305,98,34,1140,1117,772,279,75,1140,1573,–,316,206,72,75,805,349,2226,130735356
20220515,130735357,Mönchgut-Granitz,Gemeindeverband,3846,1659,1397,427,241,70,52,1659,1176,598,281,130,1659,1426,3,341,233,47,130,1134,398,2315,130735357
20220515,130735358,Niepars,Gemeindeverband,4289,1215,1870,670,402,107,35,1215,1663,1021,324,67,1215,2224,–,458,258,68,67,1072,494,2727,130735358
20220515,130735359,Nord-Rügen,Gemeindeverband,4143,1853,1577,411,204,57,43,1853,1387,546,277,75,1853,1635,5,295,216,58,75,1311,400,2432,130735359
20220515,130735360,Recknitz-Trebeltal,Gemeindeverband,3999,1563,1444,512,318,112,50,1563,1240,774,353,68,1563,1671,3,336,284,67,68,1106,419,2474,130735360
20220515,130735361,Ribnitz-Damgarten,Gemeindeverband,9813,4445,3341,1139,659,158,73,4445,2827,1594,743,208,4445,3667,10,742,622,123,208,3187,856,5772,130735361
20220515,130735362,West-Rügen,Gemeindeverband,4724,1883,1741,599,351,115,42,1883,1484,820,425,117,1883,1892,6,409,324,98,117,1295,535,2903,130735362
20220515,130740026026,"Grevesmühlen, Stadt",Gemeinde,5580,2715,1832,575,335,82,29,2715,1513,812,428,110,2715,1919,3,410,372,58,110,1847,377,3355,13074026
20220515,130740035035,"Insel Poel, Ostseebad",Gemeinde,1446,600,587,160,63,23,11,600,525,200,97,24,600,618,–,104,78,19,24,495,155,795,13074035
20220515,130740087087,"Wismar, Hansestadt",Gemeinde,24521,13214,7286,2229,1263,374,156,13214,5809,2973,1897,629,13214,7099,5,1679,1640,260,629,7296,1353,15877,13074087
20220515,130745451,Dorf Mecklenburg-Bad Kleinen,Gemeindeverband,6740,2371,2488,1029,629,165,58,2371,2165,1535,563,106,2371,3032,3,663,438,123,106,1808,648,4287,130745451
20220515,130745452,Gadebusch,Gemeindeverband,4941,2029,1697,655,410,103,45,2029,1416,974,433,90,2029,1942,–,446,341,95,90,1359,465,3112,130745452
