ags,municipality_name,vote_type,party,votes,percent
08437078,"Meßkirch, Stadt",Zweitstimmen,Die Gerechtigkeitspartei,0,0.0
08437088,"Pfullendorf, Stadt",Erststimmen,Die Gerechtigkeitspartei,,
08437088,"Pfullendorf, Stadt",Zweitstimmen,Die Gerechtigkeitspartei,0,0.0
08437100,"Bad Saulgau, Stadt",Erststimmen,Die Gerechtigkeitspartei,,
08437100,"Bad Saulgau, Stadt",Zweitstimmen,Die Gerechtigkeitspartei,0,0.0
08437114,"Veringenstadt, Stadt",Erststimmen,Die Gerechtigkeitspartei,,
08437114,"Veringenstadt, Stadt",Zweitstimmen,Die Gerechtigkeitspartei,0,0.0
08126011,Bretzfeld,Erststimmen,Die Linke,1,1.0
08126011,Bretzfeld,Zweitstimmen,Die Linke,1,1.0
08126020,Dörzbach,Erststimmen,Die Linke,1,1.0
08126020,Dörzbach,Zweitstimmen,Die Linke,3,3.1
08126039,"Ingelfingen, Stadt",Erststimmen,Die Linke,2,1.3
08126039,"Ingelfingen, Stadt",Zweitstimmen,Die Linke,1,0.7
08126046,"Künzelsau, Stadt",Erststimmen,Die Linke,6,2.7
08126046,"Künzelsau, Stadt",Zweitstimmen,Die Linke,4,1.8
08126056,Mulfingen,Erststimmen,Die Linke,8,2.2
08126056,Mulfingen,Zweitstimmen,Die Linke,5,1.4
08126072,Schöntal,Erststimmen,Die Linke,4,2.2
08126072,Schöntal,Zweitstimmen,Die Linke,6,3.4
08126085,"Waldenburg, Stadt",Erststimmen,Die Linke,6,3.4
08126085,"Waldenburg, Stadt",Zweitstimmen,Die Linke,4,2.3
08127008,Blaufelden,Erststimmen,Die Linke,8,5.2
08127008,Blaufelden,Zweitstimmen,Die Linke,6,3.9
08127014,"Crailsheim, Stadt",Erststimmen,Die Linke,2,1.9
08127014,"Crailsheim, Stadt",Zweitstimmen,Die Linke,3,2.9
08127032,"Gerabronn, Stadt",Erststimmen,Die Linke,10,3.2
08127032,"Gerabronn, Stadt",Zweitstimmen,Die Linke,2,0.7
08127047,"Langenburg, Stadt",Erststimmen,Die Linke,4,3.1
08127047,"Langenburg, Stadt",Zweitstimmen,Die Linke,3,2.3
08127059,Michelfeld,Erststimmen,Die Linke,5,3.4
08127059,Michelfeld,Zweitstimmen,Die Linke,3,2.1
08127062,Oberrot,Erststimmen,Die Linke,14,6.4
08127062,Oberrot,Zweitstimmen,Die Linke,11,5.1
08127073,Satteldorf,Erststimmen,Die Linke,13,2.7
08127073,Satteldorf,Zweitstimmen,Die Linke,15,3.0
08127100,Rosengarten,Erststimmen,Die Linke,3,2.5
08127100,Rosengarten,Zweitstimmen,Die Linke,3,2.5
08128007,"Bad Mergentheim, Stadt",Erststimmen,Die Linke,3,2.1
08128007,"Bad Mergentheim, Stadt",Zweitstimmen,Die Linke,2,1.4
08128014,"Boxberg, Stadt",Erststimmen,Die Linke,4,6.2
08128014,"Boxberg, Stadt",Zweitstimmen,Die Linke,1,1.5
08128020,"Creglingen, Stadt",Erststimmen,Die Linke,10,2.7
08128020,"Creglingen, Stadt",Zweitstimmen,Die Linke,5,1.4
08128039,"Freudenberg, Stadt",Erststimmen,Die Linke,16,5.6
08128039,"Freudenberg, Stadt",Zweitstimmen,Die Linke,16,5.6
08128047,"Grünsfeld, Stadt",Erststimmen,Die Linke,9,4.2
08128047,"Grünsfeld, Stadt",Zweitstimmen,Die Linke,7,3.3
08128058,Igersheim,Erststimmen,Die Linke,9,2.7
08128058,Igersheim,Zweitstimmen,Die Linke,10,3.0
08128061,Königheim,Erststimmen,Die Linke,25,3.8
08128061,Königheim,Zweitstimmen,Die Linke,20,3.0
08128064,"Külsheim, Stadt",Erststimmen,Die Linke,1,1.8
08128064,"Külsheim, Stadt",Zweitstimmen,Die Linke,1,1.9
08128082,"Niederstetten, Stadt",Erststimmen,Die Linke,0,0.0
08128082,"Niederstetten, Stadt",Zweitstimmen,Die Linke,0,0.0
08128126,"Weikersheim, Stadt",Erststimmen,Die Linke,0,0.0
08128126,"Weikersheim, Stadt",Zweitstimmen,Die Linke,2,3.2
08128128,Werbach,Erststimmen,Die Linke,9,4.8
08128128,Werbach,Zweitstimmen,Die Linke,5,2.6
08128131,"Wertheim, Stadt",Erststimmen,Die Linke,2,1.1
08128131,"Wertheim, Stadt",Zweitstimmen,Die Linke,4,2.1
08128139,"Lauda-Königshofen, Stadt",Erststimmen,Die Linke,7,2.5
08128139,"Lauda-Königshofen, Stadt",Zweitstimmen,Die Linke,8,2.9
08135010,Dischingen,Erststimmen,Die Linke,6,2.4
08135010,Dischingen,Zweitstimmen,Die Linke,3,1.2
08135016,"Giengen an der Brenz, Stadt",Erststimmen,Die Linke,30,3.6
08135016,"Giengen an der Brenz, Stadt",Zweitstimmen,Die Linke,24,2.9
08135020,"Herbrechtingen, Stadt",Erststimmen,Die Linke,1,1.5
08135020,"Herbrechtingen, Stadt",Zweitstimmen,Die Linke,2,3.0
08135026,Nattheim,Erststimmen,Die Linke,2,1.3
08135026,Nattheim,Zweitstimmen,Die Linke,1,0.7
08135027,"Niederstotzingen, Stadt",Erststimmen,Die Linke,9,6.4
08135027,"Niederstotzingen, Stadt",Zweitstimmen,Die Linke,7,4.9
08135031,Sontheim an der Brenz,Erststimmen,Die Linke,3,1.1
08135031,Sontheim an der Brenz,Zweitstimmen,Die Linke,4,1.5
08216013,Forbach,Erststimmen,Die Linke,4,3.1
08216013,Forbach,Zweitstimmen,Die Linke,5,3.8
08235006,"Altensteig, Stadt",Erststimmen,Die Linke,10,3.8
08235006,"Altensteig, Stadt",Zweitstimmen,Die Linke,8,3.1
08235020,Ebhausen,Erststimmen,Die Linke,1,0.9
08235020,Ebhausen,Zweitstimmen,Die Linke,2,1.8
08235050,Neuweiler,Erststimmen,Die Linke,10,3.7
08235050,Neuweiler,Zweitstimmen,Die Linke,4,1.5
08236031,Kieselbronn,Erststimmen,Die Linke,3,1.0
08236031,Kieselbronn,Zweitstimmen,Die Linke,6,2.0
08236038,"Maulbronn, Stadt",Erststimmen,Die Linke,13,4.5
08236038,"Maulbronn, Stadt",Zweitstimmen,Die Linke,7,2.4
08237040,"Horb am Neckar, Stadt",Erststimmen,Die Linke,2,1.3
08237040,"Horb am Neckar, Stadt",Zweitstimmen,Die Linke,2,1.3
08237072,Wörnersberg,Erststimmen,Die Linke,2,2.2
08237072,Wörnersberg,Zweitstimmen,Die Linke,1,1.1
08237073,Seewald,Erststimmen,Die Linke,3,3.9
08237073,Seewald,Zweitstimmen,Die Linke,4,5.3
08316011,"Emmendingen, Stadt",Erststimmen,Die Linke,4,4.3
08316011,"Emmendingen, Stadt",Zweitstimmen,Die Linke,5,5.4
08316055,Winden im Elztal,Erststimmen,Die Linke,4,2.0
08316055,Winden im Elztal,Zweitstimmen,Die Linke,5,2.5
08325012,"Dornhan, Stadt",Erststimmen,Die Linke,2,2.2
08325012,"Dornhan, Stadt",Zweitstimmen,Die Linke,1,1.1
08325015,Epfendorf,Erststimmen,Die Linke,6,10.3
08325015,Epfendorf,Zweitstimmen,Die Linke,4,6.9
08325057,"Sulz am Neckar, Stadt",Erststimmen,Die Linke,10,3.6
08325057,"Sulz am Neckar, Stadt",Zweitstimmen,Die Linke,8,2.9
08326003,"Bad Dürrheim, Stadt",Erststimmen,Die Linke,3,1.9
08326003,"Bad Dürrheim, Stadt",Zweitstimmen,Die Linke,4,2.5
08326005,"Blumberg, Stadt",Erststimmen,Die Linke,6,3.1
08326005,"Blumberg, Stadt",Zweitstimmen,Die Linke,6,3.1
08326006,"Bräunlingen, Stadt",Erststimmen,Die Linke,2,4.5
08326006,"Bräunlingen, Stadt",Zweitstimmen,Die Linke,1,2.3
08326017,"Furtwangen im Schwarzwald, Stadt",Erststimmen,Die Linke,4,5.7
08326017,"Furtwangen im Schwarzwald, Stadt",Zweitstimmen,Die Linke,4,5.7
08326052,"St. Georgen im Schwarzwald, Stadt",Erststimmen,Die Linke,11,2.4
08326052,"St. Georgen im Schwarzwald, Stadt",Zweitstimmen,Die Linke,7,1.5
08326060,"Triberg im Schwarzwald, Stadt",Erststimmen,Die Linke,4,2.7
08326060,"Triberg im Schwarzwald, Stadt",Zweitstimmen,Die Linke,5,3.4
08326068,"Vöhrenbach, Stadt",Erststimmen,Die Linke,2,2.0
08326068,"Vöhrenbach, Stadt",Zweitstimmen,Die Linke,1,1.0
08327050,"Tuttlingen, Stadt",Erststimmen,Die Linke,14,3.7
08327050,"Tuttlingen, Stadt",Zweitstimmen,Die Linke,11,2.9
08336069,"Rheinfelden (Baden), Stadt",Erststimmen,Die Linke,4,3.8
08336069,"Rheinfelden (Baden), Stadt",Zweitstimmen,Die Linke,4,3.7
08336087,"Todtnau, Stadt",Erststimmen,Die Linke,7,1.9
08336087,"Todtnau, Stadt",Zweitstimmen,Die Linke,6,1.6
08336089,Tunau,Erststimmen,Die Linke,0,0.0
08336089,Tunau,Zweitstimmen,Die Linke,0,0.0
08336091,"Weil am Rhein, Stadt",Erststimmen,Die Linke,25,5.4
08336091,"Weil am Rhein, Stadt",Zweitstimmen,Die Linke,28,6.0
08336103,"Zell im Wiesental, Stadt",Erststimmen,Die Linke,2,2.5
08336103,"Zell im Wiesental, Stadt",Zweitstimmen,Die Linke,2,2.5
08336107,Kleines Wiesental,Erststimmen,Die Linke,6,3.1
08336107,Kleines Wiesental,Zweitstimmen,Die Linke,5,2.6
08337062,Klettgau,Erststimmen,Die Linke,7,3.4
08337062,Klettgau,Zweitstimmen,Die Linke,7,3.4
08337096,"Bad Säckingen, Stadt",Erststimmen,Die Linke,7,3.1
08337096,"Bad Säckingen, Stadt",Zweitstimmen,Die Linke,6,2.6
08337116,"Wehr, Stadt",Erststimmen,Die Linke,5,2.7
08337116,"Wehr, Stadt",Zweitstimmen,Die Linke,4,2.1
08337125,Küssaberg,Erststimmen,Die Linke,1,1.8
08337125,Küssaberg,Zweitstimmen,Die Linke,1,1.9
08416036,"Rottenburg am Neckar, Stadt",Erststimmen,Die Linke,14,3.5
08416036,"Rottenburg am Neckar, Stadt",Zweitstimmen,Die Linke,9,2.3
08425020,"Blaubeuren, Stadt",Erststimmen,Die Linke,1,1.0
08425020,"Blaubeuren, Stadt",Zweitstimmen,Die Linke,3,3.1
08425033,"Ehingen (Donau), Stadt",Erststimmen,Die Linke,10,2.1
08425033,"Ehingen (Donau), Stadt",Zweitstimmen,Die Linke,8,1.7
08425052,Grundsheim,Erststimmen,Die Linke,3,2.3
08425052,Grundsheim,Zweitstimmen,Die Linke,4,3.1
08425075,Lonsee,Erststimmen,Die Linke,2,2.8
08425075,Lonsee,Zweitstimmen,Die Linke,2,2.7
08425085,Nerenstetten,Erststimmen,Die Linke,9,4.7
08425085,Nerenstetten,Zweitstimmen,Die Linke,7,3.6
08425090,Obermarchtal,Erststimmen,Die Linke,0,0.0
08425090,Obermarchtal,Zweitstimmen,Die Linke,2,1.3
08426008,Altheim,Erststimmen,Die Linke,1,1.2
08426008,Altheim,Zweitstimmen,Die Linke,1,1.2
08426097,"Riedlingen, Stadt",Erststimmen,Die Linke,1,0.7
08426097,"Riedlingen, Stadt",Zweitstimmen,Die Linke,2,1.4
08426108,Schwendi,Erststimmen,Die Linke,12,5.0
08426108,Schwendi,Zweitstimmen,Die Linke,12,5.0
08426121,Unlingen,Erststimmen,Die Linke,1,1.4
08426121,Unlingen,Zweitstimmen,Die Linke,1,1.4
08426124,Uttenweiler,Erststimmen,Die Linke,5,2.4
08426124,Uttenweiler,Zweitstimmen,Die Linke,4,1.9
08426128,Warthausen,Erststimmen,Die Linke,3,1.5
08426128,Warthausen,Zweitstimmen,Die Linke,4,2.1
08437031,"Gammertingen, Stadt",Erststimmen,Die Linke,3,2.2
08437031,"Gammertingen, Stadt",Zweitstimmen,Die Linke,5,3.6
08437078,"Meßkirch, Stadt",Erststimmen,Die Linke,5,2.4
08437078,"Meßkirch, Stadt",Zweitstimmen,Die Linke,5,2.4
08437088,"Pfullendorf, Stadt",Erststimmen,Die Linke,0,0.0
08437088,"Pfullendorf, Stadt",Zweitstimmen,Die Linke,0,0.0
08437100,"Bad Saulgau, Stadt",Erststimmen,Die Linke,15,2.5
08437100,"Bad Saulgau, Stadt",Zweitstimmen,Die Linke,16,2.6
08437114,"Veringenstadt, Stadt",Erststimmen,Die Linke,1,1.5
08437114,"Veringenstadt, Stadt",Zweitstimmen,Die Linke,0,0.0
08126011,Bretzfeld,Erststimmen,Die PARTEI,,
08126011,Bretzfeld,Zweitstimmen,Die PARTEI,0,0.0
08126020,Dörzbach,Erststimmen,Die PARTEI,,
08126020,Dörzbach,Zweitstimmen,Die PARTEI,0,0.0
08126039,"Ingelfingen, Stadt",Erststimmen,Die PARTEI,,
08126039,"Ingelfingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08126046,"Künzelsau, Stadt",Erststimmen,Die PARTEI,,
08126046,"Künzelsau, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08126056,Mulfingen,Erststimmen,Die PARTEI,,
08126056,Mulfingen,Zweitstimmen,Die PARTEI,3,0.8
08126072,Schöntal,Erststimmen,Die PARTEI,,
08126072,Schöntal,Zweitstimmen,Die PARTEI,0,0.0
08126085,"Waldenburg, Stadt",Erststimmen,Die PARTEI,,
08126085,"Waldenburg, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08127008,Blaufelden,Erststimmen,Die PARTEI,,
08127008,Blaufelden,Zweitstimmen,Die PARTEI,2,1.3
08127014,"Crailsheim, Stadt",Erststimmen,Die PARTEI,,
08127014,"Crailsheim, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08127032,"Gerabronn, Stadt",Erststimmen,Die PARTEI,,
08127032,"Gerabronn, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08127047,"Langenburg, Stadt",Erststimmen,Die PARTEI,,
08127047,"Langenburg, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08127059,Michelfeld,Erststimmen,Die PARTEI,,
08127059,Michelfeld,Zweitstimmen,Die PARTEI,1,0.7
08127062,Oberrot,Erststimmen,Die PARTEI,,
08127062,Oberrot,Zweitstimmen,Die PARTEI,2,0.9
08127073,Satteldorf,Erststimmen,Die PARTEI,,
08127073,Satteldorf,Zweitstimmen,Die PARTEI,1,0.2
08127100,Rosengarten,Erststimmen,Die PARTEI,,
08127100,Rosengarten,Zweitstimmen,Die PARTEI,1,0.8
08128007,"Bad Mergentheim, Stadt",Erststimmen,Die PARTEI,,
08128007,"Bad Mergentheim, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128014,"Boxberg, Stadt",Erststimmen,Die PARTEI,,
08128014,"Boxberg, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128020,"Creglingen, Stadt",Erststimmen,Die PARTEI,,
08128020,"Creglingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128039,"Freudenberg, Stadt",Erststimmen,Die PARTEI,,
08128039,"Freudenberg, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128047,"Grünsfeld, Stadt",Erststimmen,Die PARTEI,,
08128047,"Grünsfeld, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128058,Igersheim,Erststimmen,Die PARTEI,,
08128058,Igersheim,Zweitstimmen,Die PARTEI,0,0.0
08128061,Königheim,Erststimmen,Die PARTEI,,
08128061,Königheim,Zweitstimmen,Die PARTEI,1,0.2
08128064,"Külsheim, Stadt",Erststimmen,Die PARTEI,,
08128064,"Külsheim, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128082,"Niederstetten, Stadt",Erststimmen,Die PARTEI,,
08128082,"Niederstetten, Stadt",Zweitstimmen,Die PARTEI,1,0.9
08128126,"Weikersheim, Stadt",Erststimmen,Die PARTEI,,
08128126,"Weikersheim, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128128,Werbach,Erststimmen,Die PARTEI,,
08128128,Werbach,Zweitstimmen,Die PARTEI,1,0.5
08128131,"Wertheim, Stadt",Erststimmen,Die PARTEI,,
08128131,"Wertheim, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08128139,"Lauda-Königshofen, Stadt",Erststimmen,Die PARTEI,,
08128139,"Lauda-Königshofen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08135010,Dischingen,Erststimmen,Die PARTEI,,
08135010,Dischingen,Zweitstimmen,Die PARTEI,0,0.0
08135016,"Giengen an der Brenz, Stadt",Erststimmen,Die PARTEI,,
08135016,"Giengen an der Brenz, Stadt",Zweitstimmen,Die PARTEI,3,0.4
08135020,"Herbrechtingen, Stadt",Erststimmen,Die PARTEI,,
08135020,"Herbrechtingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08135026,Nattheim,Erststimmen,Die PARTEI,,
08135026,Nattheim,Zweitstimmen,Die PARTEI,1,0.7
08135027,"Niederstotzingen, Stadt",Erststimmen,Die PARTEI,,
08135027,"Niederstotzingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08135031,Sontheim an der Brenz,Erststimmen,Die PARTEI,,
08135031,Sontheim an der Brenz,Zweitstimmen,Die PARTEI,2,0.7
08216013,Forbach,Erststimmen,Die PARTEI,,
08216013,Forbach,Zweitstimmen,Die PARTEI,1,0.8
08235006,"Altensteig, Stadt",Erststimmen,Die PARTEI,,
08235006,"Altensteig, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08235020,Ebhausen,Erststimmen,Die PARTEI,,
08235020,Ebhausen,Zweitstimmen,Die PARTEI,0,0.0
08235050,Neuweiler,Erststimmen,Die PARTEI,,
08235050,Neuweiler,Zweitstimmen,Die PARTEI,0,0.0
08236031,Kieselbronn,Erststimmen,Die PARTEI,,
08236031,Kieselbronn,Zweitstimmen,Die PARTEI,0,0.0
08236038,"Maulbronn, Stadt",Erststimmen,Die PARTEI,,
08236038,"Maulbronn, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08237040,"Horb am Neckar, Stadt",Erststimmen,Die PARTEI,,
08237040,"Horb am Neckar, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08237072,Wörnersberg,Erststimmen,Die PARTEI,,
08237072,Wörnersberg,Zweitstimmen,Die PARTEI,0,0.0
08237073,Seewald,Erststimmen,Die PARTEI,,
08237073,Seewald,Zweitstimmen,Die PARTEI,0,0.0
08316011,"Emmendingen, Stadt",Erststimmen,Die PARTEI,2,2.2
08316011,"Emmendingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08316055,Winden im Elztal,Erststimmen,Die PARTEI,0,0.0
08316055,Winden im Elztal,Zweitstimmen,Die PARTEI,0,0.0
08325012,"Dornhan, Stadt",Erststimmen,Die PARTEI,,
08325012,"Dornhan, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08325015,Epfendorf,Erststimmen,Die PARTEI,,
08325015,Epfendorf,Zweitstimmen,Die PARTEI,0,0.0
08325057,"Sulz am Neckar, Stadt",Erststimmen,Die PARTEI,,
08325057,"Sulz am Neckar, Stadt",Zweitstimmen,Die PARTEI,1,0.4
08326003,"Bad Dürrheim, Stadt",Erststimmen,Die PARTEI,,
08326003,"Bad Dürrheim, Stadt",Zweitstimmen,Die PARTEI,1,0.6
08326005,"Blumberg, Stadt",Erststimmen,Die PARTEI,,
08326005,"Blumberg, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08326006,"Bräunlingen, Stadt",Erststimmen,Die PARTEI,,
08326006,"Bräunlingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08326017,"Furtwangen im Schwarzwald, Stadt",Erststimmen,Die PARTEI,,
08326017,"Furtwangen im Schwarzwald, Stadt",Zweitstimmen,Die PARTEI,1,1.4
08326052,"St. Georgen im Schwarzwald, Stadt",Erststimmen,Die PARTEI,,
08326052,"St. Georgen im Schwarzwald, Stadt",Zweitstimmen,Die PARTEI,1,0.2
08326060,"Triberg im Schwarzwald, Stadt",Erststimmen,Die PARTEI,,
08326060,"Triberg im Schwarzwald, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08326068,"Vöhrenbach, Stadt",Erststimmen,Die PARTEI,,
08326068,"Vöhrenbach, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08327050,"Tuttlingen, Stadt",Erststimmen,Die PARTEI,,
08327050,"Tuttlingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08336069,"Rheinfelden (Baden), Stadt",Erststimmen,Die PARTEI,,
08336069,"Rheinfelden (Baden), Stadt",Zweitstimmen,Die PARTEI,0,0.0
08336087,"Todtnau, Stadt",Erststimmen,Die PARTEI,,
08336087,"Todtnau, Stadt",Zweitstimmen,Die PARTEI,1,0.3
08336089,Tunau,Erststimmen,Die PARTEI,,
08336089,Tunau,Zweitstimmen,Die PARTEI,0,0.0
08336091,"Weil am Rhein, Stadt",Erststimmen,Die PARTEI,,
08336091,"Weil am Rhein, Stadt",Zweitstimmen,Die PARTEI,2,0.4
08336103,"Zell im Wiesental, Stadt",Erststimmen,Die PARTEI,,
08336103,"Zell im Wiesental, Stadt",Zweitstimmen,Die PARTEI,1,1.2
08336107,Kleines Wiesental,Erststimmen,Die PARTEI,,
08336107,Kleines Wiesental,Zweitstimmen,Die PARTEI,2,1.0
08337062,Klettgau,Erststimmen,Die PARTEI,,
08337062,Klettgau,Zweitstimmen,Die PARTEI,0,0.0
08337096,"Bad Säckingen, Stadt",Erststimmen,Die PARTEI,,
08337096,"Bad Säckingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08337116,"Wehr, Stadt",Erststimmen,Die PARTEI,,
08337116,"Wehr, Stadt",Zweitstimmen,Die PARTEI,3,1.6
08337125,Küssaberg,Erststimmen,Die PARTEI,,
08337125,Küssaberg,Zweitstimmen,Die PARTEI,0,0.0
08416036,"Rottenburg am Neckar, Stadt",Erststimmen,Die PARTEI,1,0.3
08416036,"Rottenburg am Neckar, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08425020,"Blaubeuren, Stadt",Erststimmen,Die PARTEI,,
08425020,"Blaubeuren, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08425033,"Ehingen (Donau), Stadt",Erststimmen,Die PARTEI,,
08425033,"Ehingen (Donau), Stadt",Zweitstimmen,Die PARTEI,0,0.0
08425052,Grundsheim,Erststimmen,Die PARTEI,,
08425052,Grundsheim,Zweitstimmen,Die PARTEI,0,0.0
08425075,Lonsee,Erststimmen,Die PARTEI,,
08425075,Lonsee,Zweitstimmen,Die PARTEI,0,0.0
08425085,Nerenstetten,Erststimmen,Die PARTEI,,
08425085,Nerenstetten,Zweitstimmen,Die PARTEI,0,0.0
08425090,Obermarchtal,Erststimmen,Die PARTEI,,
08425090,Obermarchtal,Zweitstimmen,Die PARTEI,1,0.6
08426008,Altheim,Erststimmen,Die PARTEI,,
08426008,Altheim,Zweitstimmen,Die PARTEI,0,0.0
08426097,"Riedlingen, Stadt",Erststimmen,Die PARTEI,,
08426097,"Riedlingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08426108,Schwendi,Erststimmen,Die PARTEI,,
08426108,Schwendi,Zweitstimmen,Die PARTEI,1,0.4
08426121,Unlingen,Erststimmen,Die PARTEI,,
08426121,Unlingen,Zweitstimmen,Die PARTEI,0,0.0
08426124,Uttenweiler,Erststimmen,Die PARTEI,,
08426124,Uttenweiler,Zweitstimmen,Die PARTEI,0,0.0
08426128,Warthausen,Erststimmen,Die PARTEI,,
08426128,Warthausen,Zweitstimmen,Die PARTEI,1,0.5
08437031,"Gammertingen, Stadt",Erststimmen,Die PARTEI,,
08437031,"Gammertingen, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08437078,"Meßkirch, Stadt",Erststimmen,Die PARTEI,,
08437078,"Meßkirch, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08437088,"Pfullendorf, Stadt",Erststimmen,Die PARTEI,,
08437088,"Pfullendorf, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08437100,"Bad Saulgau, Stadt",Erststimmen,Die PARTEI,,
08437100,"Bad Saulgau, Stadt",Zweitstimmen,Die PARTEI,1,0.2
08437114,"Veringenstadt, Stadt",Erststimmen,Die PARTEI,,
08437114,"Veringenstadt, Stadt",Zweitstimmen,Die PARTEI,0,0.0
08126011,Bretzfeld,Erststimmen,FDP,2,2.0
08126011,Bretzfeld,Zweitstimmen,FDP,3,3.0
08126020,Dörzbach,Erststimmen,FDP,3,3.1
08126020,Dörzbach,Zweitstimmen,FDP,2,2.0
08126039,"Ingelfingen, Stadt",Erststimmen,FDP,9,5.9
08126039,"Ingelfingen, Stadt",Zweitstimmen,FDP,8,5.2
08126046,"Künzelsau, Stadt",Erststimmen,FDP,2,0.9
08126046,"Künzelsau, Stadt",Zweitstimmen,FDP,10,4.5
08126056,Mulfingen,Erststimmen,FDP,19,5.1
08126056,Mulfingen,Zweitstimmen,FDP,28,7.7
08126072,Schöntal,Erststimmen,FDP,11,6.2
08126072,Schöntal,Zweitstimmen,FDP,10,5.6
08126085,"Waldenburg, Stadt",Erststimmen,FDP,8,4.6
08126085,"Waldenburg, Stadt",Zweitstimmen,FDP,6,3.5
08127008,Blaufelden,Erststimmen,FDP,4,2.6
08127008,Blaufelden,Zweitstimmen,FDP,5,3.3
08127014,"Crailsheim, Stadt",Erststimmen,FDP,1,1.0
08127014,"Crailsheim, Stadt",Zweitstimmen,FDP,3,2.9
08127032,"Gerabronn, Stadt",Erststimmen,FDP,13,4.2
08127032,"Gerabronn, Stadt",Zweitstimmen,FDP,18,5.9
08127047,"Langenburg, Stadt",Erststimmen,FDP,3,2.3
08127047,"Langenburg, Stadt",Zweitstimmen,FDP,3,2.3
08127059,Michelfeld,Erststimmen,FDP,2,1.4
08127059,Michelfeld,Zweitstimmen,FDP,4,2.8
08127062,Oberrot,Erststimmen,FDP,9,4.1
08127062,Oberrot,Zweitstimmen,FDP,9,4.1
08127073,Satteldorf,Erststimmen,FDP,9,1.8
08127073,Satteldorf,Zweitstimmen,FDP,18,3.7
08127100,Rosengarten,Erststimmen,FDP,5,4.2
08127100,Rosengarten,Zweitstimmen,FDP,4,3.3
08128007,"Bad Mergentheim, Stadt",Erststimmen,FDP,3,2.1
08128007,"Bad Mergentheim, Stadt",Zweitstimmen,FDP,6,4.1
08128014,"Boxberg, Stadt",Erststimmen,FDP,5,7.7
08128014,"Boxberg, Stadt",Zweitstimmen,FDP,4,6.1
08128020,"Creglingen, Stadt",Erststimmen,FDP,14,3.8
08128020,"Creglingen, Stadt",Zweitstimmen,FDP,16,4.4
08128039,"Freudenberg, Stadt",Erststimmen,FDP,3,1.0
08128039,"Freudenberg, Stadt",Zweitstimmen,FDP,6,2.1
08128047,"Grünsfeld, Stadt",Erststimmen,FDP,6,2.8
08128047,"Grünsfeld, Stadt",Zweitstimmen,FDP,3,1.4
08128058,Igersheim,Erststimmen,FDP,9,2.7
08128058,Igersheim,Zweitstimmen,FDP,8,2.4
08128061,Königheim,Erststimmen,FDP,18,2.7
08128061,Königheim,Zweitstimmen,FDP,27,4.1
08128064,"Külsheim, Stadt",Erststimmen,FDP,6,10.9
08128064,"Külsheim, Stadt",Zweitstimmen,FDP,4,7.5
08128082,"Niederstetten, Stadt",Erststimmen,FDP,3,2.7
08128082,"Niederstetten, Stadt",Zweitstimmen,FDP,4,3.7
08128126,"Weikersheim, Stadt",Erststimmen,FDP,1,1.6
08128126,"Weikersheim, Stadt",Zweitstimmen,FDP,1,1.6
08128128,Werbach,Erststimmen,FDP,5,2.7
08128128,Werbach,Zweitstimmen,FDP,2,1.1
08128131,"Wertheim, Stadt",Erststimmen,FDP,6,3.2
08128131,"Wertheim, Stadt",Zweitstimmen,FDP,5,2.6
08128139,"Lauda-Königshofen, Stadt",Erststimmen,FDP,15,5.4
08128139,"Lauda-Königshofen, Stadt",Zweitstimmen,FDP,14,5.1
08135010,Dischingen,Erststimmen,FDP,7,2.8
