ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
23301075,3.0,642.0,312.0,3.0,642.0,312.0,0.0,0.0,0.0
23301077,1.0,116.0,48.0,1.0,116.0,48.0,0.0,0.0,0.0
23301079,1.0,256.0,137.0,1.0,256.0,137.0,0.0,0.0,0.0
23301081,1.0,143.0,74.0,1.0,143.0,74.0,0.0,0.0,0.0
23301084,1.0,58.0,22.0,1.0,58.0,22.0,0.0,0.0,0.0
23301501,11.0,4024.0,1837.0,11.0,4024.0,1837.0,0.0,0.0,0.0
23304003,1.0,53.0,18.0,1.0,53.0,18.0,0.0,0.0,0.0
23304010,1.0,130.0,79.0,1.0,130.0,79.0,0.0,0.0,0.0
23304032,1.0,87.0,37.0,1.0,87.0,37.0,0.0,0.0,0.0
23304037,1.0,83.0,42.0,1.0,83.0,42.0,0.0,0.0,0.0
23304048,1.0,90.0,37.0,1.0,90.0,37.0,0.0,0.0,0.0
23304201,1.0,84.0,45.0,1.0,84.0,45.0,0.0,0.0,0.0
23304202,1.0,77.0,25.0,1.0,77.0,25.0,0.0,0.0,0.0
23304203,1.0,108.0,61.0,1.0,108.0,61.0,0.0,0.0,0.0
23304205,1.0,142.0,96.0,1.0,142.0,96.0,0.0,0.0,0.0
23304206,1.0,166.0,118.0,1.0,166.0,118.0,0.0,0.0,0.0
23304207,1.0,58.0,20.0,1.0,58.0,20.0,0.0,0.0,0.0
23304208,1.0,54.0,29.0,1.0,54.0,29.0,0.0,0.0,0.0
23304210,1.0,129.0,74.0,1.0,129.0,74.0,0.0,0.0,0.0
23304212,1.0,52.0,28.0,1.0,52.0,28.0,0.0,0.0,0.0
23304213,1.0,65.0,21.0,1.0,65.0,21.0,0.0,0.0,0.0
23304215,1.0,186.0,108.0,1.0,186.0,108.0,0.0,0.0,0.0
23304216,1.0,63.0,25.0,1.0,63.0,25.0,0.0,0.0,0.0
23304217,1.0,92.0,33.0,1.0,92.0,33.0,0.0,0.0,0.0
23304218,5.0,1158.0,541.0,5.0,1158.0,541.0,0.0,0.0,0.0
23304220,1.0,49.0,37.0,1.0,49.0,37.0,0.0,0.0,0.0
23304221,1.0,67.0,25.0,1.0,67.0,25.0,0.0,0.0,0.0
23304222,1.0,49.0,31.0,1.0,49.0,31.0,0.0,0.0,0.0
23304224,1.0,98.0,48.0,1.0,98.0,48.0,0.0,0.0,0.0
23304225,1.0,171.0,93.0,1.0,171.0,93.0,0.0,0.0,0.0
23304226,1.0,98.0,56.0,1.0,98.0,56.0,0.0,0.0,0.0
23304228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23304230,1.0,75.0,40.0,1.0,75.0,40.0,0.0,0.0,0.0
23304233,1.0,37.0,18.0,1.0,37.0,18.0,0.0,0.0,0.0
23304234,1.0,160.0,79.0,1.0,160.0,79.0,0.0,0.0,0.0
23304236,1.0,57.0,21.0,1.0,57.0,21.0,0.0,0.0,0.0
23304242,1.0,362.0,170.0,1.0,362.0,170.0,0.0,0.0,0.0
23304243,1.0,36.0,12.0,1.0,36.0,12.0,0.0,0.0,0.0
23304244,1.0,56.0,25.0,1.0,56.0,25.0,0.0,0.0,0.0
23306002,1.0,57.0,20.0,1.0,57.0,20.0,0.0,0.0,0.0
23306004,1.0,150.0,78.0,1.0,150.0,78.0,0.0,0.0,0.0
23306005,1.0,274.0,135.0,1.0,274.0,135.0,0.0,0.0,0.0
23306007,1.0,251.0,118.0,1.0,251.0,118.0,0.0,0.0,0.0
23306019,1.0,126.0,54.0,1.0,126.0,54.0,0.0,0.0,0.0
23306022,1.0,248.0,111.0,1.0,248.0,111.0,0.0,0.0,0.0
23306023,1.0,305.0,118.0,1.0,305.0,118.0,0.0,0.0,0.0
23306026,12.0,3368.0,1488.0,12.0,3368.0,1488.0,0.0,0.0,0.0
23306028,1.0,229.0,95.0,1.0,229.0,95.0,0.0,0.0,0.0
23306029,4.0,1678.0,741.0,4.0,1678.0,741.0,0.0,0.0,0.0
23306033,1.0,187.0,74.0,1.0,187.0,74.0,0.0,0.0,0.0
23306035,1.0,638.0,259.0,1.0,638.0,259.0,0.0,0.0,0.0
23306036,1.0,209.0,92.0,1.0,209.0,92.0,0.0,0.0,0.0
23306038,1.0,303.0,127.0,1.0,303.0,127.0,0.0,0.0,0.0
23306041,1.0,522.0,170.0,1.0,522.0,170.0,0.0,0.0,0.0
23306050,1.0,425.0,205.0,1.0,425.0,205.0,0.0,0.0,0.0
23306053,1.0,427.0,183.0,1.0,427.0,183.0,0.0,0.0,0.0
