capture,time,commit,party,votes,share
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,bergpartei,10,0.00293670231823281
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,SGP,120,0.03524042781879372
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Menschliche Welt,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,AB Spandau,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Ausländer für Berlin,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Migrants for Neukölln,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Berliner:innen ohne Grenzen,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Berlin Retten,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,BSW,17678,5.191502358171961
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Losdemokratie,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,MERA25,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,PdF,1027,0.3015993280825096
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Jan Mihm: Bester Mann,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Demokratische Linke,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,DIE FRAUEN,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,CDU,64390,17.294959777601697
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,SPD,41509,11.149192194571654
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,GRÜNE,48753,13.094908744174804
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Die Linke,97232,26.116221914827896
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,AfD,72689,19.52404614496179
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,FDP,8372,2.248693947166973
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Tierschutzpartei,7565,2.0319361813566834
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Die PARTEI,2812,0.7552947180403164
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Volt,7069,1.8987120774633701
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,FREIE WÄHLER,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Mieterpartei,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Die Urbane.,285,0.07655014034192396
