party,omitted_block,feature,log_odds_per_full_sd
BSW,13071,log_population,0.09023696061008735
BSW,13071,age19_24_share,-0.1163440949083659
BSW,13071,age67_share,-0.008933615876847002
BSW,13071,owner_occupancy_share,0.012393946721929
BSW,13071,foreign_citizenship_share,-0.005204604554773488
BSW,13072,log_population,0.10131956635062299
BSW,13072,age19_24_share,-0.11064906328177163
BSW,13072,age67_share,0.012659333934346585
BSW,13072,owner_occupancy_share,0.011547679257745698
BSW,13072,foreign_citizenship_share,-0.024747922107125682
BSW,13073,log_population,0.09078764351869473
BSW,13073,age19_24_share,-0.12079757563601065
BSW,13073,age67_share,-0.0028251650206385275
BSW,13073,owner_occupancy_share,-0.011553103127797136
BSW,13073,foreign_citizenship_share,-0.030052153926668285
BSW,13074,log_population,0.08151304451400362
BSW,13074,age19_24_share,-0.12004719813784528
BSW,13074,age67_share,-0.008016852128377883
BSW,13074,owner_occupancy_share,-0.020000662810712097
BSW,13074,foreign_citizenship_share,-0.02424241126422246
BSW,13075,log_population,0.054357483128440326
BSW,13075,age19_24_share,-0.03457627868508386
BSW,13075,age67_share,0.02414764900269659
BSW,13075,owner_occupancy_share,0.0399053245591782
BSW,13075,foreign_citizenship_share,-0.039531616945787156
BSW,13076,log_population,0.10280169338975663
BSW,13076,age19_24_share,-0.12084817215844253
BSW,13076,age67_share,0.001683465961656566
BSW,13076,owner_occupancy_share,-0.02322574841015735
BSW,13076,foreign_citizenship_share,-0.06336622649503199
Tierschutzpartei,13003,log_population,-0.2043518016554599
Tierschutzpartei,13003,age19_24_share,0.12837132734876133
Tierschutzpartei,13003,age67_share,-0.006318548751183547
Tierschutzpartei,13003,owner_occupancy_share,-0.12368865805811545
Tierschutzpartei,13003,foreign_citizenship_share,-0.03634638280507384
Tierschutzpartei,13004,log_population,-0.127012254761596
Tierschutzpartei,13004,age19_24_share,0.08215272922395557
Tierschutzpartei,13004,age67_share,-0.013431401840163455
Tierschutzpartei,13004,owner_occupancy_share,-0.12903185556433236
Tierschutzpartei,13004,foreign_citizenship_share,-0.017446581676896413
Tierschutzpartei,13071,log_population,-0.17970695617232493
Tierschutzpartei,13071,age19_24_share,0.11117578886836008
Tierschutzpartei,13071,age67_share,0.007207211643929571
Tierschutzpartei,13071,owner_occupancy_share,-0.1525273521911978
Tierschutzpartei,13071,foreign_citizenship_share,-0.07836854208717957
Tierschutzpartei,13072,log_population,-0.17690713064048294
Tierschutzpartei,13072,age19_24_share,0.13022215440266216
Tierschutzpartei,13072,age67_share,-0.004785436178983459
Tierschutzpartei,13072,owner_occupancy_share,-0.13113277397293785
Tierschutzpartei,13072,foreign_citizenship_share,-0.04676572911356903
Tierschutzpartei,13073,log_population,-0.1408826231655331
Tierschutzpartei,13073,age19_24_share,0.1946395567785061
Tierschutzpartei,13073,age67_share,0.01202515680438581
Tierschutzpartei,13073,owner_occupancy_share,-0.0036034670733550264
Tierschutzpartei,13073,foreign_citizenship_share,-0.016515151537217075
Tierschutzpartei,13074,log_population,-0.1675706698496437
Tierschutzpartei,13074,age19_24_share,0.13188996334672493
Tierschutzpartei,13074,age67_share,-7.28220188174901e-05
Tierschutzpartei,13074,owner_occupancy_share,-0.11352955366409254
Tierschutzpartei,13074,foreign_citizenship_share,-0.030747068151078943
Tierschutzpartei,13075,log_population,-0.1810745602012796
Tierschutzpartei,13075,age19_24_share,0.14407467807446464
Tierschutzpartei,13075,age67_share,-0.029089885930644745
Tierschutzpartei,13075,owner_occupancy_share,-0.1455032330690702
Tierschutzpartei,13075,foreign_citizenship_share,-0.04749141706517984
Tierschutzpartei,13076,log_population,-0.1507730001881964
Tierschutzpartei,13076,age19_24_share,0.1301713869604353
