row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
mv:WAHLBEZIRK:13074039:27:1,13074039,"Klütz, Stadt",WAHLBEZIRK,1,27,,,1,1,617,613,613,,,,,,,6917f92bc423d9f2c01df256fbc713d0c8873cbc43f2e7b2ebde2885b0453938,False
mv:WAHLBEZIRK:13074039:27:2,13074039,"Klütz, Stadt",WAHLBEZIRK,2,27,,,1,1,565,553,557,,,,,,,29c26090cd4a3f6cc2bfe25e3feae94831248f6496587e864ba228e90d5baf65,False
mv:WAHLBEZIRK:13074040:28:1,13074040,Kneese,WAHLBEZIRK,1,28,,,1,1,180,176,176,,,,,,,895b11748f632603befc64754aa712dcf6733be5c6ce29a92badc2c68e5c7a2d,False
mv:WAHLBEZIRK:13074042:27:1,13074042,Königsfeld,WAHLBEZIRK,1,27,,,1,1,199,196,196,,,,,,,7bdb84d08dc4f122f76c9b01c6ad919c6da89eb5f9f97e064b7032a87e84060c,False
mv:WAHLBEZIRK:13074042:27:2,13074042,Königsfeld,WAHLBEZIRK,2,27,,,1,1,164,162,163,,,,,,,67a3327b986d9489d0686fa66eade799d784e18db9de91b2be8bb452bdeb3480,False
mv:WAHLBEZIRK:13074042:27:3,13074042,Königsfeld,WAHLBEZIRK,3,27,,,1,1,119,118,118,,,,,,,7036b5662ef0b208355654d0f92bdd5fc440a3bd48df25b4ac4f419402f9b09a,False
mv:WAHLBEZIRK:13074043:28:1,13074043,Krembz,WAHLBEZIRK,1,28,,,1,1,435,428,429,,,,,,,55eda0ce1f31d26aec18d9166d549582df56a16667a4398efdb7e391b8bd1552,False
mv:WAHLBEZIRK:13074044:28:1,13074044,Krusenhagen,WAHLBEZIRK,1,28,,,1,1,320,318,316,,,,,,,47153d176ab2b90ab93acb2ea1d3e9634be36b81ec81d0ca330771317e3962b7,False
mv:WAHLBEZIRK:13074046:28:1,13074046,Lübberstorf,WAHLBEZIRK,1,28,,,1,1,146,145,145,,,,,,,f408cb0c7f0bffa831cabf03302dad5ffb891f6b9b23b051521a85e5e293e36f,False
mv:WAHLBEZIRK:13074047:28:1,13074047,Lübow,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,7de46a350a3d521d881a6170f47154c88117f0258a1992bce72798f87400fe5b,False
mv:WAHLBEZIRK:13074048:28:1,13074048,Lübstorf,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,720598f1aa3288fd4629d29d561fa7c34e8391a23ab379679cdc226d8825dd68,False
mv:WAHLBEZIRK:13074049:27:1,13074049,Lüdersdorf,WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,f4da611b6cf8cae6938f26437dcaf9ea0efd0fcf62de2fe2c55ca3a185bb05d9,False
mv:WAHLBEZIRK:13074049:27:2,13074049,Lüdersdorf,WAHLBEZIRK,2,27,,,0,1,0,0,0,,,,,,,2c89a6fa1742dd498d44f9086fe4c121fcedeb12039ed4d2ee9403cb1e3a2e53,False
mv:WAHLBEZIRK:13074049:27:3,13074049,Lüdersdorf,WAHLBEZIRK,3,27,,,0,1,0,0,0,,,,,,,1731fc329aa142a49884f78253c8c37f8ab8d3bbc8428d26ee38c4a931f9ceb6,False
