row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
000075:13101037:-:13101037:GEMEINDE,13101037,Kaltenborn,GEMEINDE,13101037,1,1,215,212,214,206,,204,9,,10,6df9157ceee1753dbd2361443c3fd77be4e8461c26fbc1940a7b63818cc38987,True
000076:13101042:-:13101042:GEMEINDE,13101042,Kottenborn,GEMEINDE,13101042,1,1,103,101,102,101,,101,2,,1,f9fce05408816f94a204f5b1f5149e6829be296865527905fe90375fd1a6044c,True
000077:13101044:-:13101044:GEMEINDE,13101044,Leimbach,GEMEINDE,13101044,1,1,254,252,253,235,,232,19,,21,e7aad29bf8466dd0c7cdb47eb70f20dba51e574d4e6be8039ad6da716a5ee2ed,True
000078:13101050:-:13101050:GEMEINDE,13101050,Meuspath,GEMEINDE,13101050,1,1,92,90,91,94,,93,-2,,-2,08b9fe52f8d7c1ef67036028ef4a4f8070a510f9fc753bef802a7ea130ca18ae,True
000079:13101051:-:13101051:GEMEINDE,13101051,Müllenbach,GEMEINDE,13101051,1,1,310,306,306,285,,284,25,,22,f1e0734020f57c8a7f75352288ba642bcaa4a2d280391f1b6086b51b6ef9588b,True
000080:13101052:-:13101052:GEMEINDE,13101052,Müsch,GEMEINDE,13101052,1,1,112,110,111,117,,116,-5,,-5,50651fd710407f9dbc5aafb626284944429580712f763ddea4b77a8c80c3f623,True
000081:13101058:-:13101058:GEMEINDE,13101058,Nürburg,GEMEINDE,13101058,1,1,108,105,108,102,,101,6,,7,38005518f1abcd23352f3c94d875f0df7609353517e23cc4c6f7865b59ed1289,True
000082:13101062:-:13101062:GEMEINDE,13101062,Ohlenhard,GEMEINDE,13101062,1,1,79,79,79,81,,80,-2,,-1,f7a0f6128ad7575acb4f6f926fc0e535a3491c28acdf11a36b05df7ae9e3a2cc,True
000083:13101065:-:13101065:GEMEINDE,13101065,Pomster,GEMEINDE,13101065,1,1,96,95,96,94,,94,2,,2,c90656ba802c64c8dc7370ed8c02456f828f33a7cb99f30efae6135b5a0f7c78,True
000084:13101066:-:13101066:GEMEINDE,13101066,Quiddelbach,GEMEINDE,13101066,1,1,162,159,158,168,,164,-6,,-6,be9d1038f71c19f31d0f2ce2d49434260520f6ac1e9e2a64ff965df6e9efa116,True
000085:13101069:-:13101069:GEMEINDE,13101069,Reifferscheid,GEMEINDE,13101069,1,1,310,305,308,297,,293,13,,15,d5087658f2546cfa93177639cdc6fddf589c6098a3d8eb37c3ee6887ed2da564,True
