wahlkreisnummer,wahlkreisname,gemeindekennziffer,gemeindename
25,"Vorpommern-Rügen III - Stralsund I",13073036,"Groß Kordshagen"
25,"Vorpommern-Rügen III - Stralsund I",13073041,"Jakobsdorf"
25,"Vorpommern-Rügen III - Stralsund I",13073054,"Lüssow"
25,"Vorpommern-Rügen III - Stralsund I",13073060,"Niepars"
25,"Vorpommern-Rügen III - Stralsund I",13073061,"Pantelitz"
25,"Vorpommern-Rügen III - Stralsund I",13073087,"Steinhagen"
25,"Vorpommern-Rügen III - Stralsund I",13073099,"Wendorf"
25,"Vorpommern-Rügen III - Stralsund I",13073104,"Zarrendorf"
25,"Vorpommern-Rügen III - Stralsund I",13073758,"Briefwahl Niepars"
26,"Stralsund II",13073088,"Stralsund, Hansestadt"
33,"Vorpommern-Rügen IV",13073080,"Sassnitz, Stadt"
33,"Vorpommern-Rügen IV",13073027,"Garz/Rügen, Stadt"
33,"Vorpommern-Rügen IV",13073038,"Gustow"
33,"Vorpommern-Rügen IV",13073065,"Poseritz"
33,"Vorpommern-Rügen IV",13073753,"Briefwahl Bergen auf Rügen"
33,"Vorpommern-Rügen IV",13073004,"Altenkirchen"
33,"Vorpommern-Rügen IV",13073013,"Breege"
33,"Vorpommern-Rügen IV",13073019,"Dranske"
33,"Vorpommern-Rügen IV",13073030,"Glowe, Ostseebad"
33,"Vorpommern-Rügen IV",13073052,"Lohme"
33,"Vorpommern-Rügen IV",13073071,"Putgarten"
33,"Vorpommern-Rügen IV",13073078,"Sagard"
33,"Vorpommern-Rügen IV",13073101,"Wiek"
33,"Vorpommern-Rügen IV",13073759,"Briefwahl Nord-Rügen"
33,"Vorpommern-Rügen IV",13073003,"Altefähr"
33,"Vorpommern-Rügen IV",13073021,"Dreschvitz"
33,"Vorpommern-Rügen IV",13073028,"Gingst"
33,"Vorpommern-Rügen IV",13073040,"Insel Hiddensee, Seebad"
33,"Vorpommern-Rügen IV",13073045,"Kluis"
33,"Vorpommern-Rügen IV",13073059,"Neuenkirchen"
33,"Vorpommern-Rügen IV",13073073,"Rambin"
33,"Vorpommern-Rügen IV",13073079,"Samtens"
33,"Vorpommern-Rügen IV",13073081,"Schaprode"
33,"Vorpommern-Rügen IV",13073092,"Trent"
33,"Vorpommern-Rügen IV",13073095,"Ummanz"
33,"Vorpommern-Rügen IV",13073762,"Briefwahl West-Rügen"
34,"Vorpommern-Rügen V",13073011,"Binz, Ostseebad"
34,"Vorpommern-Rügen V",13073070,"Putbus, Stadt"
34,"Vorpommern-Rügen V",13073010,"Bergen auf Rügen, Stadt"
34,"Vorpommern-Rügen V",13073014,"Buschvitz"
34,"Vorpommern-Rügen V",13073049,"Lietzow"
34,"Vorpommern-Rügen V",13073063,"Parchtitz"
34,"Vorpommern-Rügen V",13073064,"Patzig"
34,"Vorpommern-Rügen V",13073072,"Ralswiek"
34,"Vorpommern-Rügen V",13073074,"Rappin"
34,"Vorpommern-Rügen V",13073083,"Sehlen"
34,"Vorpommern-Rügen V",13073753,"Briefwahl Bergen auf Rügen"
34,"Vorpommern-Rügen V",13073006,"Baabe, Ostseebad"
34,"Vorpommern-Rügen V",13073031,"Göhren, Ostseebad"
34,"Vorpommern-Rügen V",13073048,"Lancken-Granitz"
34,"Vorpommern-Rügen V",13073084,"Sellin, Ostseebad"
34,"Vorpommern-Rügen V",13073106,"Zirkow"
34,"Vorpommern-Rügen V",13073107,"Mönchgut, Ostseebad"
34,"Vorpommern-Rügen V",13073757,"Briefwahl Mönchgut-Granitz"
10,"Wismar",13074087,"Wismar, Hansestadt"
27,"Nordwestmecklenburg I",13074026,"Grevesmühlen, Stadt"
27,"Nordwestmecklenburg I",13074005,"Bernstorf"
27,"Nordwestmecklenburg I",13074022,"Gägelow"
27,"Nordwestmecklenburg I",13074069,"Roggenstorf"
27,"Nordwestmecklenburg I",13074071,"Rüting"
27,"Nordwestmecklenburg I",13074077,"Testorf-Steinfort"
27,"Nordwestmecklenburg I",13074079,"Upahl"
27,"Nordwestmecklenburg I",13074085,"Warnow"
27,"Nordwestmecklenburg I",13074093,"Stepenitztal"
27,"Nordwestmecklenburg I",13074753,"Briefwahl Grevesmühlen-Land"
